weight,nb_r,sigma_rw,mape_Rj,cov_Rj,width_Rj,roughness,mape_Rj_0_5,mape_Rj_6_11,mape_Rj_12_17,mape_Rj_18_44,mape_Rj_45_64,mape_Rj_65
Poisson,0,0.1,29.83743511580859,6.25,0.029621056672902806,0.17837497996238985,29.892572547925866,30.06781781630132,31.539444778797243,30.682949252559034,30.143967115564852,26.697859183703198
Poisson,0,0.15,62.25092235204685,3.4722222222222214,0.027551987023790265,0.35273236948020886,65.582892054872,67.65329684264088,56.83357753036007,68.91936037263096,61.326504965789454,53.1899023459878
Poisson,0,0.2,52.6718717110852,10.069444444444443,0.0496249773605749,0.38274266242655147,56.25395689901532,58.29684937177382,43.551854988553835,56.66563452974993,52.88882114285221,48.37411333456612
NB10,10,0.1,3.677687759057127,96.99074074074075,0.2694382000176973,0.012442431400402633,3.6808464601903235,4.117292476527306,3.028039545037965,3.8067991584054837,3.808213134153013,3.6249357800286717
NB10,10,0.15,4.03946653708958,100.0,0.3543428504091581,0.013300252930194725,4.40684406596243,4.462456494317801,3.380711820829982,4.166970063775484,4.015524110798696,3.8042926668530903
NB10,10,0.2,4.6311161208084615,100.0,0.43454900222309784,0.016075382836714076,5.120708602818009,5.183598567541151,3.9508993943762,4.77909956058042,4.471160085409986,4.281230514125003
NB20,20,0.1,4.1519116997936205,98.26388888888887,0.2424865063743873,0.014682062550272997,4.227397903602797,4.610543504487946,3.4428691969720218,4.371340890773387,4.290592704103874,3.968725998821701
NB20,20,0.15,4.759943260017831,100.0,0.32140518516263455,0.017200083053216353,5.158484229218338,5.1788671423302155,3.9762887394898883,5.025960165183044,4.786874498271919,4.433184785613585
NB20,20,0.2,5.585799026713613,100.0,0.39575245321544233,0.021796839167886217,5.998033578881223,6.102309062560886,4.83230023718516,5.790899742324013,5.531306613832968,5.259944925497428
NB30,30,0.1,4.486259816234169,98.49537037037038,0.22820077623949578,0.016379145348561264,4.62828156465329,4.922550692030402,3.716084370774538,4.760216512710086,4.63025129716816,4.260174460068536
NB30,30,0.15,5.314823797839597,99.76851851851852,0.3041521078727248,0.0202243877377765,5.68816265332796,5.647040867302752,4.558764607461896,5.613827815602635,5.34322595954593,5.0379208837964065
NB30,30,0.2,6.232970302814651,99.88425925925925,0.3747928547625274,0.026175991488009726,6.56271542157929,6.643057914592373,5.614272184613752,6.389060885893488,6.1949225911178445,5.993792819091158
NB40,40,0.1,4.823048361218265,95.37037037037038,0.2201849259582315,0.018187915048110175,4.99088978430983,5.29364834915262,4.00591516663496,5.131867600853936,4.962178358244216,4.553790908114029
NB40,40,0.15,5.6743104485785905,98.2638888888889,0.29305028773338615,0.023209633601714335,6.0131356338180835,5.9832826228757945,5.002232849145643,5.94106192138529,5.685467445232688,5.420682219014041
NB40,40,0.2,6.747792321222593,98.26388888888887,0.36274216739890547,0.03013059899587332,7.014014345611004,7.008182680774714,6.2625787019636485,6.9014338391955965,6.754632011689984,6.545912348100605
