day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
1,2014-08-31,36,0-5,16.5714,17.3225,13.6305,21.5046,1.3326,1.0466,1.6765,NA
1,2014-08-31,36,6-11,18.0000,17.6396,13.7305,21.5236,1.5549,1.2565,1.9017,NA
1,2014-08-31,36,12-17,10.4286,9.2418,6.8422,12.2931,1.4055,1.1224,1.7445,NA
1,2014-08-31,36,18-44,32.1429,29.8872,24.5028,35.3879,0.8944,0.7181,1.1012,NA
1,2014-08-31,36,45-64,32.5714,29.7858,24.4513,35.8686,0.9544,0.7616,1.1883,NA
1,2014-08-31,36,65+,22.7143,20.8170,16.8294,25.4614,1.0858,0.8564,1.3716,NA
2,2014-09-01,36,0-5,16.4286,17.0713,14.2115,20.3729,1.3324,1.0806,1.6510,6.9564
2,2014-09-01,36,6-11,18.7143,17.4383,14.3807,20.5903,1.5703,1.3079,1.8911,8.3559
2,2014-09-01,36,12-17,11.1429,9.2006,7.2563,11.4081,1.3956,1.1397,1.6939,7.6393
2,2014-09-01,36,18-44,31.8571,31.4460,27.0185,36.2247,0.8631,0.7244,1.0311,4.3502
2,2014-09-01,36,45-64,32.4286,30.3457,26.2283,35.0865,0.9159,0.7603,1.1050,4.7479
2,2014-09-01,36,65+,25.8571,21.1029,17.9678,24.5476,1.0462,0.8571,1.2839,5.7689
3,2014-09-02,36,0-5,15.7143,16.9189,14.2258,20.3251,1.3368,1.1024,1.6230,3.1698
3,2014-09-02,36,6-11,18.2857,17.4678,14.6127,20.5343,1.5711,1.3214,1.8710,3.8322
3,2014-09-02,36,12-17,11.7143,9.2208,7.4026,11.2490,1.3667,1.1398,1.6399,3.6349
3,2014-09-02,36,18-44,33.5714,32.9657,27.6941,38.8895,0.8300,0.7083,0.9750,2.0595
3,2014-09-02,36,45-64,34.8571,30.7680,26.1828,36.1252,0.8688,0.7338,1.0307,2.2721
3,2014-09-02,36,65+,27.4286,21.4284,18.2421,25.3370,0.9891,0.8276,1.1905,2.7443
4,2014-09-03,36,0-5,15.4286,17.0334,14.0788,20.8090,1.3402,1.1222,1.6077,2.1965
4,2014-09-03,36,6-11,19.0000,17.8380,14.6223,21.0579,1.5580,1.3178,1.8477,2.7019
4,2014-09-03,36,12-17,11.5714,9.3535,7.4502,11.6709,1.3414,1.1290,1.5903,2.4905
4,2014-09-03,36,18-44,36.5714,33.6918,27.8610,40.5280,0.8011,0.6897,0.9314,1.4544
4,2014-09-03,36,45-64,37.2857,30.9462,25.7064,36.8270,0.8274,0.7058,0.9687,1.5950
4,2014-09-03,36,65+,27.7143,21.6680,18.1256,26.1403,0.9365,0.7874,1.1194,1.8876
5,2014-09-04,36,0-5,17.4286,17.4011,14.1984,21.5106,1.3446,1.1255,1.6071,1.8897
5,2014-09-04,36,6-11,20.7143,18.4112,14.8544,22.1154,1.5405,1.3099,1.8170,2.2608
5,2014-09-04,36,12-17,11.8571,9.6421,7.5043,12.3271,1.3234,1.1147,1.5646,2.0021
5,2014-09-04,36,18-44,37.4286,34.1056,27.8273,41.4781,0.7785,0.6724,0.9027,1.1821
5,2014-09-04,36,45-64,37.7143,30.9172,25.3446,37.4732,0.7942,0.6797,0.9262,1.2749
5,2014-09-04,36,65+,28.0000,21.7561,17.9113,26.5530,0.8923,0.7559,1.0565,1.5018
6,2014-09-05,36,0-5,19.7143,18.1314,14.5890,22.3407,1.3574,1.1313,1.6285,1.6335
6,2014-09-05,36,6-11,20.1429,19.0546,15.2167,23.2890,1.5379,1.3091,1.8133,1.7816
6,2014-09-05,36,12-17,10.2857,10.0494,7.7663,12.9289,1.3316,1.1276,1.5687,1.4636
6,2014-09-05,36,18-44,32.4286,34.6469,28.1910,42.1299,0.7750,0.6709,0.8968,0.8852
6,2014-09-05,36,45-64,30.5714,30.8056,25.0162,37.4231,0.7851,0.6733,0.9153,0.9107
6,2014-09-05,36,65+,22.1429,21.6649,17.7442,26.4242,0.8760,0.7418,1.0396,1.0513
7,2014-09-06,36,0-5,18.2857,19.0258,15.2532,23.3872,1.3724,1.1438,1.6365,1.3638
7,2014-09-06,36,6-11,20.2857,19.7328,15.8287,24.4119,1.5407,1.3116,1.8159,1.5530
7,2014-09-06,36,12-17,8.1429,10.6110,8.1977,13.5530,1.3640,1.1550,1.6045,1.1470
7,2014-09-06,36,18-44,30.0000,35.7173,29.1602,43.2067,0.7855,0.6790,0.9098,0.7323
7,2014-09-06,36,45-64,25.5714,30.9554,25.3595,37.7597,0.7976,0.6836,0.9290,0.7381
7,2014-09-06,36,65+,19.4286,21.5208,17.5929,26.4028,0.8873,0.7460,1.0508,0.8584
8,2014-09-07,37,0-5,19.2857,19.8157,15.9625,24.3282,1.3843,1.1595,1.6545,1.3644
8,2014-09-07,37,6-11,21.2857,20.3990,16.3898,25.0868,1.5459,1.3149,1.8273,1.5585
8,2014-09-07,37,12-17,9.7143,11.2168,8.7427,14.2264,1.4122,1.1980,1.6696,1.2322
8,2014-09-07,37,18-44,32.2857,37.1251,30.3753,44.5250,0.8069,0.6979,0.9347,0.7360
8,2014-09-07,37,45-64,24.7143,31.1864,25.5529,37.7941,0.8268,0.7092,0.9626,0.7317
8,2014-09-07,37,65+,18.1429,21.3600,17.4158,26.2317,0.9166,0.7759,1.0854,0.8269
9,2014-09-08,37,0-5,21.1429,20.6431,16.5887,25.2253,1.3857,1.1640,1.6640,1.4609
9,2014-09-08,37,6-11,22.4286,20.8255,16.9421,25.4019,1.5545,1.3252,1.8171,1.6453
9,2014-09-08,37,12-17,11.2857,11.7887,9.1628,14.8534,1.4608,1.2426,1.7289,1.3916
9,2014-09-08,37,18-44,37.2857,38.5835,31.7135,45.8886,0.8330,0.7216,0.9604,0.8078
9,2014-09-08,37,45-64,27.1429,31.5094,25.8152,38.2161,0.8650,0.7417,1.0087,0.8042
9,2014-09-08,37,65+,18.2857,21.2524,17.3951,26.0626,0.9624,0.8131,1.1373,0.8841
10,2014-09-09,37,0-5,22.8571,21.2646,17.3065,25.7792,1.3768,1.1516,1.6405,1.5031
10,2014-09-09,37,6-11,21.8571,21.0429,17.1032,25.6836,1.5588,1.3310,1.8250,1.6200
10,2014-09-09,37,12-17,12.0000,12.3661,9.6910,15.5738,1.5102,1.2789,1.7853,1.4408
10,2014-09-09,37,18-44,40.1429,39.8354,33.0537,47.6537,0.8582,0.7419,0.9938,0.8324
10,2014-09-09,37,45-64,28.2857,32.1168,26.5045,38.8526,0.9073,0.7770,1.0553,0.8308
10,2014-09-09,37,65+,18.2857,21.3207,17.2760,26.2227,1.0150,0.8546,1.2006,0.9058
11,2014-09-10,37,0-5,22.7143,21.5989,17.6376,26.2331,1.3524,1.1332,1.6181,1.4340
11,2014-09-10,37,6-11,20.2857,21.0453,17.1168,25.6973,1.5591,1.3356,1.8241,1.5283
11,2014-09-10,37,12-17,13.0000,12.9082,10.1294,16.2773,1.5313,1.3004,1.8036,1.4740
11,2014-09-10,37,18-44,39.8571,41.2618,34.5368,49.6446,0.8752,0.7566,1.0158,0.8212
11,2014-09-10,37,45-64,30.0000,33.2793,27.5154,39.8617,0.9396,0.8026,1.0981,0.8423
11,2014-09-10,37,65+,19.2857,21.5242,17.6178,26.5807,1.0589,0.8943,1.2494,0.9316
12,2014-09-11,37,0-5,23.4286,21.7234,17.7439,26.3707,1.3156,1.1064,1.5684,1.4008
12,2014-09-11,37,6-11,19.5714,20.9524,17.0779,25.4429,1.5432,1.3190,1.8046,1.4676
12,2014-09-11,37,12-17,13.1429,13.3937,10.5999,16.8152,1.5292,1.3013,1.7932,1.4307
12,2014-09-11,37,18-44,39.2857,42.7718,35.8849,51.4324,0.8794,0.7585,1.0181,0.7965
12,2014-09-11,37,45-64,30.1429,34.7893,28.8781,41.5914,0.9559,0.8180,1.1159,0.8201
12,2014-09-11,37,65+,19.0000,22.1832,18.1048,27.3510,1.0873,0.9179,1.2926,0.9094
13,2014-09-12,37,0-5,21.5714,21.4842,17.7089,26.0651,1.2562,1.0567,1.4982,1.4141
13,2014-09-12,37,6-11,21.1429,20.8440,17.0719,25.1082,1.4964,1.2804,1.7555,1.6461
13,2014-09-12,37,12-17,14.7143,13.7914,10.9564,17.3324,1.4879,1.2633,1.7524,1.6523
13,2014-09-12,37,18-44,46.5714,44.2983,37.1743,53.0839,0.8588,0.7413,0.9955,0.9307
13,2014-09-12,37,45-64,40.5714,36.7469,30.4663,43.8671,0.9418,0.8061,1.1029,1.0065
13,2014-09-12,37,65+,24.0000,23.0594,18.9362,28.5499,1.0819,0.9092,1.2863,1.1269
14,2014-09-13,37,0-5,23.5714,20.8691,17.2101,25.4821,1.1945,1.0048,1.4224,1.5017
14,2014-09-13,37,6-11,21.7143,20.5363,16.8308,24.7890,1.4374,1.2291,1.6852,1.7154
14,2014-09-13,37,12-17,17.7143,14.0572,11.1478,17.6604,1.4204,1.2061,1.6767,1.8076
14,2014-09-13,37,18-44,51.1429,45.3330,38.1087,54.1471,0.8203,0.7087,0.9515,0.9876
14,2014-09-13,37,45-64,44.8571,38.6678,32.1423,46.1607,0.9030,0.7726,1.0566,1.0730
14,2014-09-13,37,65+,27.7143,24.1347,19.7385,29.6958,1.0484,0.8811,1.2478,1.2151
15,2014-09-14,38,0-5,21.4286,20.1480,16.6130,24.8216,1.1351,0.9570,1.3516,1.3936
15,2014-09-14,38,6-11,21.7143,20.1139,16.4497,24.4007,1.3739,1.1795,1.6178,1.6571
15,2014-09-14,38,12-17,16.1429,14.2125,11.3163,17.6744,1.3489,1.1489,1.5782,1.6381
15,2014-09-14,38,18-44,53.4286,46.0153,38.6582,54.7351,0.7787,0.6748,0.9027,0.9489
15,2014-09-14,38,45-64,46.1429,40.2177,33.4501,48.0678,0.8579,0.7340,1.0017,1.0326
15,2014-09-14,38,65+,29.8571,25.3549,20.6876,31.0855,1.0027,0.8464,1.1917,1.1894
16,2014-09-15,38,0-5,19.1429,19.3730,15.9156,23.8179,1.0913,0.9165,1.2973,1.2411
16,2014-09-15,38,6-11,19.8571,19.7973,16.1433,24.1846,1.3265,1.1374,1.5581,1.4891
16,2014-09-15,38,12-17,14.5714,14.3013,11.3672,17.7989,1.2813,1.0926,1.5015,1.4535
16,2014-09-15,38,18-44,50.2857,46.5230,38.9452,55.3238,0.7444,0.6456,0.8625,0.8612
16,2014-09-15,38,45-64,46.5714,41.6109,34.7421,49.9025,0.8181,0.7026,0.9559,0.9479
16,2014-09-15,38,65+,29.8571,26.6816,21.8186,32.5950,0.9632,0.8132,1.1435,1.0985
17,2014-09-16,38,0-5,17.5714,18.6048,15.2116,22.8700,1.0606,0.8896,1.2639,1.1311
17,2014-09-16,38,6-11,18.8571,19.5042,15.8528,23.8378,1.2888,1.1004,1.5156,1.3714
17,2014-09-16,38,12-17,14.1429,14.2848,11.4278,17.7505,1.2311,1.0496,1.4485,1.3384
17,2014-09-16,38,18-44,46.1429,46.8090,39.5235,55.7050,0.7190,0.6227,0.8330,0.7800
17,2014-09-16,38,45-64,44.4286,42.7565,35.7361,51.2067,0.7884,0.6765,0.9216,0.8584
17,2014-09-16,38,65+,28.2857,27.9065,22.9440,33.9039,0.9318,0.7861,1.1059,0.9910
18,2014-09-17,38,0-5,16.8571,17.8797,14.5625,22.0006,1.0397,0.8728,1.2375,1.1021
