day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
1,2013-09-01,36,0-5,36.5714,34.9891,29.2011,41.0764,1.4041,1.1251,1.7417,NA
1,2013-09-01,36,6-11,29.4286,27.8409,23.1443,33.6520,1.5702,1.2910,1.9150,NA
1,2013-09-01,36,12-17,16.7143,14.5718,11.4345,17.9130,1.5209,1.2282,1.8680,NA
1,2013-09-01,36,18-44,40.7143,34.5854,28.9618,40.9279,0.9382,0.7642,1.1442,NA
1,2013-09-01,36,45-64,32.2857,29.1337,23.9622,34.4938,0.9962,0.8054,1.2207,NA
1,2013-09-01,36,65+,19.1429,17.2269,13.3879,21.4120,1.1139,0.8865,1.3769,NA
2,2013-09-02,36,0-5,36.0000,34.1485,29.5554,38.9129,1.3795,1.1381,1.6716,7.2947
2,2013-09-02,36,6-11,30.2857,27.0461,23.6011,31.4628,1.5581,1.3102,1.8499,8.2436
2,2013-09-02,36,12-17,17.0000,14.3488,11.8916,17.0229,1.5128,1.2543,1.8187,7.4400
2,2013-09-02,36,18-44,44.2857,38.4390,33.1890,43.9539,0.8951,0.7585,1.0586,4.0909
2,2013-09-02,36,45-64,34.1429,30.6959,26.3831,35.2777,0.9502,0.7965,1.1337,4.2200
2,2013-09-02,36,65+,20.0000,18.2685,15.1883,21.6153,1.0719,0.8785,1.2929,4.7120
3,2013-09-03,36,0-5,34.2857,33.1706,28.7222,38.2285,1.3459,1.1281,1.6030,3.2866
3,2013-09-03,36,6-11,31.5714,26.3549,22.8467,30.4087,1.5165,1.2925,1.7816,3.8776
3,2013-09-03,36,12-17,17.5714,14.4592,12.1224,17.3318,1.4808,1.2448,1.7626,3.5175
3,2013-09-03,36,18-44,45.0000,42.1891,35.6167,49.4854,0.8447,0.7300,0.9817,1.9228
3,2013-09-03,36,45-64,36.7143,32.5950,27.8279,38.3818,0.8933,0.7638,1.0450,2.0237
3,2013-09-03,36,65+,22.7143,19.6836,16.4539,23.5026,1.0082,0.8459,1.2005,2.3155
4,2013-09-04,36,0-5,35.0000,32.4915,27.5660,37.9940,1.3080,1.1008,1.5550,2.2819
4,2013-09-04,36,6-11,30.2857,25.8806,22.1543,30.5043,1.4656,1.2539,1.7190,2.5770
4,2013-09-04,36,12-17,17.4286,14.8940,12.3948,18.3192,1.4344,1.2157,1.6955,2.3715
4,2013-09-04,36,18-44,46.2857,44.3752,36.8444,53.2678,0.7967,0.6893,0.9190,1.3198
4,2013-09-04,36,45-64,37.8571,34.2706,28.6583,41.3253,0.8350,0.7163,0.9717,1.3929
4,2013-09-04,36,65+,24.5714,21.1330,17.3294,25.4396,0.9370,0.7924,1.1089,1.6159
5,2013-09-05,36,0-5,35.2857,32.0970,26.9144,38.0837,1.2713,1.0682,1.5132,1.8371
5,2013-09-05,36,6-11,30.0000,25.6164,21.4293,30.5304,1.4131,1.2081,1.6560,2.0454
