Np,L,sigma_rw,resample,day,age_group,true_Rj,Rj_med,Rj_lo,Rj_hi,true_dR,dR_med,dR_lo,dR_hi
100000,16,0.15,every,15,0-5,1.47758,1.4619321394268459,1.2392705582707395,1.7150199480489567,807.946377,811.9269768538511,695.5920396818537,956.1804530953705
100000,16,0.15,every,15,6-11,2.462969,2.4435023338058572,2.051145569362178,2.91541335199462,4983.241971,5009.352707668946,4311.482020108408,5850.812577451346
100000,16,0.15,every,15,12-17,1.607303,1.5886125572506256,1.35409589019026,1.8629397967372037,706.636978,709.6980571183099,603.2928891811603,829.9681246173132
100000,16,0.15,every,15,18-44,0.801986,0.7933028376553009,0.6911323058611247,0.9124131347096811,1998.026374,2003.20117043543,1713.949673056508,2360.9506428400073
100000,16,0.15,every,15,45-64,0.662089,0.6550899482127974,0.5708917356499944,0.7528453945694443,525.977613,527.6225197086483,452.6209712594855,624.0549185551622
100000,16,0.15,every,15,65+,0.536789,0.5319802428192222,0.46772597171620095,0.6057534661615087,99.286285,99.60284180290239,83.6796761197511,118.93288754569005
100000,16,0.15,every,16,0-5,1.486304,1.47665747289015,1.2600306610983798,1.7372310167467304,951.197058,951.723959589589,814.5557273730428,1132.239100871805
100000,16,0.15,every,16,6-11,2.468122,2.4487599635234814,2.0623317474414944,2.930180592472587,6078.81127,6099.425663572805,5245.923957960127,7139.777784842176
100000,16,0.15,every,16,12-17,1.618224,1.6093953257742433,1.37462532385841,1.8769112730976505,850.860069,852.8774093064312,725.5070817817614,1002.4456364260595
100000,16,0.15,every,16,18-44,0.80784,0.8021698784486603,0.7006587790226853,0.9265249323722914,2426.872612,2428.486906589893,2073.8094772745226,2839.348482652329
100000,16,0.15,every,16,45-64,0.66767,0.6631945603625639,0.5801516815340829,0.7635349787146766,637.364016,636.9084738769898,547.7182721871964,747.816254691696
100000,16,0.15,every,16,65+,0.541239,0.5383427062927948,0.4748952337105012,0.6134976520136944,119.873309,120.06682617100955,100.60729688200263,141.95847001164861
100000,16,0.15,every,17,0-5,1.494685,1.4842655511556808,1.2641634313912407,1.7509731906743482,1129.277698,1131.0824628853243,963.6774081694939,1342.4316536867236
100000,16,0.15,every,17,6-11,2.471696,2.450416536126218,2.0497588339044057,2.9116530647501038,7409.847775,7413.754223077238,6383.5215738376355,8681.222803766937
100000,16,0.15,every,17,12-17,1.628868,1.6172991856672465,1.3819158326183385,1.9005229360664526,1028.921606,1029.4343917981732,873.2319001980695,1209.9164575862014
100000,16,0.15,every,17,18-44,0.813555,0.8075852541336335,0.7033658702672875,0.9331598916050886,2958.553836,2961.2206645391434,2522.1993830621923,3476.260714679831
100000,16,0.15,every,17,45-64,0.673209,0.6691550059219281,0.5836921110895211,0.7693709960418075,776.000016,773.4618558767315,664.2253274578898,907.5442099168804
100000,16,0.15,every,17,65+,0.54567,0.5433670269935157,0.47827360061890944,0.6178884625223647,145.575978,145.7906537585268,122.99055288316254,171.8763570328706
100000,16,0.15,every,18,0-5,1.502654,1.497459894065867,1.2706833145759364,1.7569310300397105,1350.001486,1352.5604042750565,1160.1580297125238,1596.2491882310042
100000,16,0.15,every,18,6-11,2.473394,2.4560118424045343,2.0651579233550583,2.931067821704837,9023.720946,9011.43262133978,7785.7578112627525,10552.14145820283
100000,16,0.15,every,18,12-17,1.639178,1.6328856390740336,1.39773837808896,1.9124865893950245,1248.747198,1246.5361562134922,1058.5582897050735,1460.3132926343196
100000,16,0.15,every,18,18-44,0.819096,0.8152267750717335,0.7108962060600071,0.9405125256887624,3616.933377,3621.2397849908193,3078.7446574343594,4273.623164709996
100000,16,0.15,every,18,45-64,0.678688,0.6755938200567203,0.5901769710709103,0.7758822018386414,948.311106,945.1734109441168,811.6172265018768,1108.5515626244242
100000,16,0.15,every,18,65+,0.550065,0.5481893948434438,0.4828529743808374,0.6228364859495445,177.549463,177.9564589338031,150.319109723064,210.34004026175216
100000,16,0.15,every,19,0-5,1.510132,1.502905339102422,1.280302091792041,1.7660553330032014,1622.834336,1626.8439797887331,1395.2497838838044,1924.0028338368684
100000,16,0.15,every,19,6-11,2.472868,2.4555286896928896,2.0697824526753084,2.8981114783320803,10975.172743,10957.391259586235,9454.221598843877,12817.011274072302
100000,16,0.15,every,19,12-17,1.649086,1.639502367171193,1.4048353538678249,1.9397214317940814,1520.009766,1519.6055057555423,1293.8420119676066,1787.1134253199343
100000,16,0.15,every,19,18-44,0.824418,0.8197487750905708,0.7147656530811652,0.9471261625191958,4431.080289,4444.334734311222,3771.0590385521755,5217.838899816859
100000,16,0.15,every,19,45-64,0.684081,0.6805328396977184,0.593815871683248,0.7828834064875011,1162.198633,1158.6444895209906,991.938684323186,1363.1468455603522
100000,16,0.15,every,19,65+,0.554406,0.5517526617131325,0.48569384406936095,0.6277687407770137,217.223561,217.4488034915778,184.50012552081012,257.80731626446754
100000,16,0.15,every,20,0-5,1.517023,1.5051491386047338,1.2828797366367939,1.7634079461417724,1959.160279,1963.5891987156447,1680.0042896324176,2298.204497388062
100000,16,0.15,every,20,6-11,2.469709,2.4453741959542015,2.063815125999893,2.8822234935427535,13326.287852,13302.289831263915,11440.123237229382,15659.637489146873
100000,16,0.15,every,20,12-17,1.65851,1.644124184271225,1.4050993694041662,1.9264818082410327,1854.449136,1857.1291575255727,1586.357776334391,2188.7290817766534
100000,16,0.15,every,20,18-44,0.829473,0.822699473343097,0.7165274657356716,0.9490853574449359,5436.159,5457.029869833426,4641.669955877736,6399.882192987749
100000,16,0.15,every,20,45-64,0.689363,0.6841345838215314,0.5963219705864591,0.7874711952671853,1427.319119,1424.6648052912124,1218.5427656449738,1673.9626330691194
100000,16,0.15,every,20,65+,0.558669,0.554746600233295,0.4881356793531742,0.6321762066052441,266.34977,266.76723585253717,225.84060920435604,315.4903769223588
100000,16,0.15,every,21,0-5,1.523216,1.5059989383439247,1.2880968955386178,1.7676725651037513,2372.543472,2376.0766689949733,2037.622446774687,2772.845961071179
