weight,day,age_group,true_Rj,Rj_med,Rj_lo,Rj_hi,true_dR,dR_med,dR_lo,dR_hi,obs
Poisson,1,0-5,1.339049,1.2166305890081988,1.2077633820128222,1.2285718334908267,330.93133,370.3141467544046,370.3141467544046,370.3141467544046,495
Poisson,1,6-11,2.311691,1.7495622339543337,1.7221935093774838,1.7700696081358338,263.808763,265.39320896474374,265.39320896474374,265.39320896474374,252
Poisson,1,12-17,1.442413,1.2601314061596303,1.0327503090297867,1.3031346636523253,106.22455,110.43481878467645,102.0162366970991,110.43481878467645,107
Poisson,1,18-44,0.716412,0.597581945371425,0.5738557113901348,0.6236564987207577,378.044663,365.4041520848668,365.4041520848668,365.4041520848668,311
Poisson,1,45-64,0.585959,0.5134178459776246,0.4758594353309097,0.5562842378158868,166.399298,158.4648555737404,151.5616198705268,168.82755733424656,161
Poisson,1,65+,0.477594,0.4548100194153507,0.4270764145574708,0.5236758987543954,120.274235,127.88369481973703,116.91842170857234,127.88369481973703,92
Poisson,2,0-5,1.349362,1.2581467794094536,1.2527165702262193,1.2718682541931996,328.081813,358.1126153587182,358.1126153587182,358.1126153587182,426
Poisson,2,6-11,2.32493,2.0254513677677863,2.009243259827334,2.051590059790024,319.737799,296.97600452100664,296.97600452100664,296.97600452100664,492
Poisson,2,12-17,1.454397,1.291731368888445,1.1396696352631794,1.3381107074980307,114.303266,113.23265832611298,105.91715013552339,113.23265832611298,92
Poisson,2,18-44,0.722411,0.6377504882353937,0.6242137538027432,0.6702174007528217,387.435862,363.259947204537,363.259947204537,363.259947204537,395
Poisson,2,45-64,0.591069,0.531840787857659,0.5114841369257129,0.5874063586716212,160.825,155.44937492628816,148.3767663712572,162.0404256792393,123
Poisson,2,65+,0.481464,0.4475489428820047,0.42486539471427137,0.5117892764681872,105.073442,112.7071876261729,107.40929235471083,112.7071876261729,159
Poisson,3,0-5,1.35966,1.2455158033453597,1.237432580899712,1.2551736356666099,325.648649,347.900246348652,347.900246348652,347.900246348652,253
Poisson,3,6-11,2.337983,2.620139825748243,2.6058865159495275,2.637240315465407,404.900079,365.35001288895,365.35001288895,365.35001288895,447
Poisson,3,12-17,1.466397,1.3504073068694227,1.2517818710304107,1.3842414257931503,126.230268,119.31765295010524,107.67001372648605,119.31765295010524,116
Poisson,3,18-44,0.728456,0.6932744598162266,0.6741620671315854,0.7146243316504505,403.551557,362.59949656709273,362.59949656709273,362.59949656709273,375
Poisson,3,45-64,0.596248,0.5746719769437068,0.5427639993261278,0.6108841646150414,154.978536,150.99043572743045,146.06705871786437,160.3448572747891,140
Poisson,3,65+,0.485405,0.4801630012844101,0.4471897697104021,0.5208856589351853,86.724254,92.6511143724752,92.49790287459564,94.32349050300371,83
