day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
1,2017-09-03,36,0-5,11.7143,10.7319,7.9029,14.0668,1.3041,1.0202,1.6335,NA
1,2017-09-03,36,6-11,17.7143,17.4919,13.8297,21.5869,1.5075,1.2222,1.8416,NA
1,2017-09-03,36,12-17,16.7143,15.1629,11.5288,18.6790,1.4571,1.1738,1.7847,NA
1,2017-09-03,36,18-44,41.2857,38.5091,32.4616,45.2009,0.9084,0.7290,1.1156,NA
1,2017-09-03,36,45-64,27.2857,25.7333,20.8107,31.2008,0.9422,0.7575,1.1627,NA
1,2017-09-03,36,65+,18.2857,18.1774,14.2145,22.7450,1.0107,0.8017,1.2661,NA
2,2017-09-04,36,0-5,12.8571,10.7532,8.5981,13.2407,1.2809,1.0385,1.5714,7.1184
2,2017-09-04,36,6-11,17.2857,17.1600,14.4068,20.3591,1.5209,1.2593,1.8271,8.3374
2,2017-09-04,36,12-17,16.7143,14.7118,12.0835,17.5643,1.4749,1.2166,1.7790,8.0089
2,2017-09-04,36,18-44,42.5714,39.7962,34.6736,45.2976,0.8853,0.7362,1.0565,4.5198
2,2017-09-04,36,45-64,28.4286,26.9733,23.0310,31.2945,0.9213,0.7636,1.1005,4.6073
2,2017-09-04,36,65+,18.5714,18.3110,15.3021,21.6660,0.9923,0.8092,1.2059,5.1187
3,2017-09-05,36,0-5,12.5714,10.8090,8.7590,13.2082,1.2605,1.0414,1.5155,3.1203
3,2017-09-05,36,6-11,16.8571,16.7430,14.0477,19.8909,1.5390,1.2970,1.8120,3.7005
3,2017-09-05,36,12-17,14.5714,14.4674,11.9418,17.2827,1.4908,1.2488,1.7565,3.3926
3,2017-09-05,36,18-44,40.5714,40.9661,35.0253,47.2623,0.8656,0.7365,1.0148,1.9961
3,2017-09-05,36,45-64,28.4286,28.3893,23.9040,33.5686,0.9013,0.7642,1.0592,2.0567
3,2017-09-05,36,65+,19.2857,18.4338,15.4694,21.7154,0.9718,0.8112,1.1596,2.3408
4,2017-09-06,36,0-5,12.0000,10.8559,8.7663,13.3720,1.2488,1.0394,1.4975,2.0715
4,2017-09-06,36,6-11,15.8571,16.6568,13.5645,19.9370,1.5602,1.3260,1.8379,2.4744
4,2017-09-06,36,12-17,15.4286,14.5611,11.9595,17.4409,1.5032,1.2725,1.7796,2.4255
4,2017-09-06,36,18-44,40.1429,41.4973,34.5440,48.9778,0.8545,0.7317,0.9983,1.3691
4,2017-09-06,36,45-64,29.5714,29.5020,24.2943,35.3886,0.8892,0.7597,1.0415,1.4338
4,2017-09-06,36,65+,19.8571,18.5268,15.3345,22.3805,0.9583,0.8095,1.1389,1.6305
5,2017-09-07,36,0-5,11.8571,11.0235,8.7082,13.7068,1.2366,1.0370,1.4696,1.6545
5,2017-09-07,36,6-11,16.4286,16.7718,13.5641,20.3649,1.5775,1.3417,1.8444,2.0250
5,2017-09-07,36,12-17,15.5714,14.7720,11.9287,18.0966,1.5083,1.2855,1.7758,1.9612
5,2017-09-07,36,18-44,39.5714,41.4218,34.0529,49.4407,0.8455,0.7252,0.9829,1.0920
5,2017-09-07,36,45-64,29.4286,30.4269,24.8233,36.8826,0.8808,0.7532,1.0264,1.1365
5,2017-09-07,36,65+,18.7143,18.6024,15.2176,22.8209,0.9500,0.8014,1.1260,1.2667
6,2017-09-08,36,0-5,11.5714,11.1406,8.6961,13.9455,1.2332,1.0313,1.4690,1.4761
6,2017-09-08,36,6-11,17.2857,17.1272,13.8101,21.1545,1.5828,1.3488,1.8618,1.8623
6,2017-09-08,36,12-17,16.0000,15.1074,12.0839,18.7305,1.5114,1.2845,1.7790,1.7802
6,2017-09-08,36,18-44,41.8571,41.3632,34.1119,49.3958,0.8382,0.7199,0.9776,0.9929
6,2017-09-08,36,45-64,30.2857,31.1829,25.4408,37.9717,0.8746,0.7485,1.0220,1.0257
6,2017-09-08,36,65+,18.1429,18.6795,15.0728,23.0801,0.9444,0.7960,1.1203,1.1180
7,2017-09-09,36,0-5,10.7143,11.2629,8.7948,14.1998,1.2423,1.0377,1.4857,1.2924
7,2017-09-09,36,6-11,18.0000,17.5919,14.1901,21.8125,1.5891,1.3496,1.8715,1.7142
7,2017-09-09,36,12-17,16.2857,15.5338,12.3552,19.3984,1.5099,1.2793,1.7809,1.6319
7,2017-09-09,36,18-44,39.8571,41.3878,34.2636,49.4041,0.8377,0.7193,0.9781,0.8879
7,2017-09-09,36,45-64,30.1429,31.9558,26.2223,38.7672,0.8726,0.7485,1.0197,0.9232
7,2017-09-09,36,65+,17.5714,18.7606,15.1852,23.2702,0.9403,0.7973,1.1108,1.0033
8,2017-09-10,37,0-5,10.7143,11.4408,8.9160,14.4233,1.2561,1.0543,1.4949,1.2377
8,2017-09-10,37,6-11,19.1429,18.1483,14.6905,22.5111,1.5784,1.3426,1.8638,1.6746
8,2017-09-10,37,12-17,15.7143,15.9820,12.6674,19.7455,1.5022,1.2711,1.7709,1.5392
8,2017-09-10,37,18-44,38.8571,41.5125,34.4468,49.6329,0.8362,0.7198,0.9718,0.8552
8,2017-09-10,37,45-64,31.8571,32.7841,26.9176,39.5246,0.8687,0.7450,1.0145,0.9016
8,2017-09-10,37,65+,19.0000,18.7841,15.1953,23.1649,0.9327,0.7921,1.1044,1.0021
9,2017-09-11,37,0-5,10.0000,11.6716,9.0625,14.7238,1.2733,1.0630,1.5152,1.1731
9,2017-09-11,37,6-11,19.8571,18.7050,15.0942,23.0018,1.5579,1.3247,1.8400,1.6439
9,2017-09-11,37,12-17,16.4286,16.3415,13.0120,20.3586,1.4779,1.2516,1.7522,1.5427
9,2017-09-11,37,18-44,38.8571,41.8848,34.8476,49.9809,0.8296,0.7141,0.9642,0.8400
9,2017-09-11,37,45-64,34.2857,33.4712,27.6046,40.5221,0.8578,0.7347,0.9991,0.8962
9,2017-09-11,37,65+,18.5714,18.8529,15.1844,23.1827,0.9214,0.7793,1.0895,0.9775
10,2017-09-12,37,0-5,10.7143,12.0374,9.3637,15.0586,1.2807,1.0680,1.5258,1.2380
10,2017-09-12,37,6-11,20.5714,19.0581,15.3846,23.3734,1.5268,1.2999,1.7931,1.6753
10,2017-09-12,37,12-17,17.7143,16.6523,13.2818,20.7142,1.4475,1.2251,1.7080,1.5994
10,2017-09-12,37,18-44,42.7143,42.4468,35.3669,50.5398,0.8177,0.7047,0.9496,0.8720
10,2017-09-12,37,45-64,35.5714,34.1204,28.2764,41.2588,0.8423,0.7215,0.9802,0.9202
