weight,day,age_group,true_Rj,Rj_med,Rj_lo,Rj_hi,true_dR,dR_med,dR_lo,dR_hi,obs
Poisson,4,0-5,1.369933,1.6593095771293576,1.4360458662906797,1.664415966847728,325.535413,284.9465270133801,284.9465270133801,289.869830882569,233
Poisson,4,6-11,2.350811,2.726005383932589,2.6983399433938677,2.7340053944913696,511.765541,319.1390482106792,319.1390482106792,319.1390482106792,411
Poisson,4,12-17,1.478402,1.7537191023837848,1.7479094147507295,1.7598443636386105,140.616838,147.35521639568037,147.35521639568037,147.35521639568037,177
Poisson,4,18-44,0.734541,0.8009606642992556,0.7746069995270431,0.8086202488768114,426.652422,356.9250039280603,356.9250039280603,356.9250039280603,395
Poisson,4,45-64,0.601493,0.6445932151651159,0.6335598771229914,0.6563002178455842,151.630782,169.5157789355451,169.5157789355451,169.5157789355451,141
Poisson,4,65+,0.489412,0.5210650860375295,0.49537014789591255,0.5593390687285863,70.729754,67.88988357273229,62.897093794524494,74.19690655486556,52
Poisson,5,0-5,1.380172,1.6460370440469207,1.6429611384800886,1.6498728498861586,328.803048,294.45438470989643,294.45438470989643,294.45438470989643,381
Poisson,5,6-11,2.363382,4.4504703877003555,4.445651468978985,4.4564798168484945,641.288651,439.23892667210384,439.23892667210384,439.23892667210384,622
Poisson,5,12-17,1.490403,1.7301135057189176,1.7258072379253526,1.7354836338938506,157.442095,170.15089297704367,170.15089297704367,170.15089297704367,174
Poisson,5,18-44,0.740661,0.9981803312606294,0.9935664729103811,1.003934040019486,458.18697,370.6068675109209,370.6068675109209,370.6068675109209,625
Poisson,5,45-64,0.606798,0.7759955805281812,0.7674855751266121,0.7866079766834058,151.953184,160.69485967085632,160.69485967085632,160.69485967085632,194
Poisson,5,65+,0.493482,0.6368231800533601,0.6111906336630917,0.668788228713675,58.632153,55.39202664272307,49.55823888253485,60.94526583308459,63
Poisson,6,0-5,1.390367,1.5783890630579318,1.575244014755242,1.5821541578681169,336.258969,302.99471419491874,302.99471419491874,302.99471419491874,268
Poisson,6,6-11,2.375661,3.1134331485122435,3.108505906171363,3.1193317970482,797.509134,712.1498793160165,712.1498793160165,712.1498793160165,836
Poisson,6,12-17,1.502389,1.6080822533736086,1.6036791857498427,1.6133533861078677,177.211626,186.56618182759917,186.56618182759917,186.56618182759917,148
Poisson,6,18-44,0.746809,0.8810495595142062,0.8763319870601713,0.886697201729484,500.142645,404.0927535448059,404.0927535448059,404.0927535448059,331
Poisson,6,45-64,0.612161,0.7152480049703895,0.706546704666281,0.7256647672785685,156.522133,160.33437721435462,160.33437721435462,160.33437721435462,136
Poisson,6,65+,0.497614,0.585701186295492,0.5594924504397432,0.6170769763803683,50.434243,46.691525047956134,41.424024670740266,51.82059675145149,38
Poisson,7,0-5,1.400506,1.4900489541156134,1.487413009590684,1.4935091074909455,348.722026,321.2351697466329,321.2351697466329,321.2351697466329,357
Poisson,7,6-11,2.387607,2.794803489775574,2.790673843353184,2.8002243967302607,986.178421,1034.844052448092,1034.844052448092,1034.844052448092,748
Poisson,7,12-17,1.514351,1.6160804985686414,1.61239017623374,1.6209247132941063,200.705671,207.68285183568514,207.68285183568514,207.68285183568514,276
Poisson,7,18-44,0.75298,0.7880333484773303,0.7840794316899359,0.7932235785403283,554.951997,479.09016074363126,479.09016074363126,479.09016074363126,529
Poisson,7,45-64,0.617576,0.6386905104349433,0.6313977305826378,0.6482636014400285,165.778997,170.97019140896964,170.97019140896964,170.97019140896964,141
Poisson,7,65+,0.501802,0.5226978616836556,0.5007316573092415,0.5515324731447555,45.661614,42.86765652769469,37.73824211304361,48.23899165592877,47
Poisson,8,0-5,1.410578,1.2903125360561756,1.2882044193176025,1.2933647892541513,367.150294,355.0245044331332,355.0245044331332,355.0245044331332,316
Poisson,8,6-11,2.399174,1.7758133849141844,1.77251066869042,1.7805952482576797,1214.55463,1349.9206976226405,1349.9206976226405,1349.9206976226405,1246
Poisson,8,12-17,1.526277,1.7445280141394788,1.7415766507054766,1.7488011686166447,228.921981,246.58016022724019,246.58016022724019,246.58016022724019,218
Poisson,8,18-44,0.759166,0.6557472351751619,0.6525850600673024,0.6603256149721254,625.557947,584.8120126388717,584.8120126388717,584.8120126388717,503
Poisson,8,45-64,0.62304,0.5524098138761655,0.5465773575661136,0.5608543810572316,180.240433,186.45670768088803,186.45670768088803,186.45670768088803,216
Poisson,8,65+,0.506044,0.43801909794120286,0.4204514584530949,0.4634545412576674,43.799297,43.1666070861005,37.84744923726225,48.65377092793153,43
Poisson,9,0-5,1.420567,1.281127019039252,1.2792797969609124,1.2818287681506277,392.719535,389.4453153564855,389.4453153564855,389.4453153564855,434
Poisson,9,6-11,2.410305,1.8704180817573972,1.8675241005013314,1.8715174886985524,1491.567128,1548.8029917709828,1548.8029917709828,1548.8029917709828,1282
Poisson,9,12-17,1.538152,1.479070316662408,1.4764842057527323,1.480052765418334,263.089568,308.0224592838015,308.0224592838015,308.0224592838015,308
Poisson,9,18-44,0.765359,0.6715292516664404,0.6687584185489308,0.672581875333504,715.545323,692.6178660037754,692.6178660037754,692.6178660037754,772
Poisson,9,45-64,0.628547,0.5420377360388879,0.5369270882888145,0.5439792419136941,200.604819,199.35784850046844,199.35784850046844,199.35784850046844,215
Poisson,9,65+,0.510336,0.43010766121774235,0.4147141438982441,0.4359555704792063,44.451362,44.25735997888637,40.01319621634775,47.80313905887556,70
Poisson,10,0-5,1.430456,1.6317341498374722,1.6317341498374722,1.6317341498374722,426.889988,427.2513819498786,427.2513819498786,427.2513819498786,371
Poisson,10,6-11,2.420932,2.351721345236627,2.351721345236627,2.351721345236627,1828.130648,1737.972041827853,1737.972041827853,1737.972041827853,1728
Poisson,10,12-17,1.549963,1.283075426199729,1.283075426199729,1.283075426199729,304.714202,362.24128004792146,362.24128004792146,362.24128004792146,448
Poisson,10,18-44,0.771548,0.7594518395515099,0.7594518395515099,0.7594518395515099,829.317096,827.1936034690816,827.1936034690816,827.1936034690816,770
Poisson,10,45-64,0.634091,0.5596136305358385,0.5596136305358385,0.5596136305358385,227.82135,208.75256436688255,208.75256436688255,208.75256436688255,191
Poisson,10,65+,0.514671,0.4413266937780356,0.4413266937780356,0.4413266937780356,47.385134,46.778304487277865,46.778304487277865,46.778304487277865,44
Poisson,11,0-5,1.440226,1.7460766807319728,1.7460766807319728,1.7460766807319728,471.477637,489.96165858154836,489.96165858154836,489.96165858154836,492
Poisson,11,6-11,2.430973,3.4217530388164943,3.4217530388164943,3.4217530388164943,2237.552162,2135.841802857506,2135.841802857506,2135.841802857506,2077
Poisson,11,12-17,1.56169,1.2149819124754548,1.2149819124754548,1.2149819124754548,355.644121,388.85777252739854,388.85777252739854,388.85777252739854,321
Poisson,11,18-44,0.777724,0.8909695234068953,0.8909695234068953,0.8909695234068953,972.312685,994.7267229405779,994.7267229405779,994.7267229405779,1094
Poisson,11,45-64,0.639665,0.6363468389077782,0.6363468389077782,0.6363468389077782,263.151482,217.47782469527738,217.47782469527738,217.47782469527738,192
Poisson,11,65+,0.519046,0.5110218079993543,0.5110218079993543,0.5110218079993543,52.533007,47.80821841973193,47.80821841973193,47.80821841973193,38
