day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
1,2009-08-30,36,0-5,423.7143,358.1498,335.5795,380.3094,1.6974,1.4007,2.0352,NA
1,2009-08-30,36,6-11,371.0000,289.1279,270.6637,316.5083,1.9292,1.6200,2.2646,NA
1,2009-08-30,36,12-17,519.0000,373.8197,356.4677,394.9040,1.9048,1.6077,2.1159,NA
1,2009-08-30,36,18-44,1162.5714,1072.6219,1033.6181,1115.4421,1.0324,0.8636,1.2244,NA
1,2009-08-30,36,45-64,504.1429,471.0109,447.9891,497.1806,0.9883,0.8335,1.1608,NA
1,2009-08-30,36,65+,721.1429,683.3054,651.3391,714.4803,1.1202,0.9209,1.3515,NA
2,2009-08-31,36,0-5,442.1429,376.9573,349.0144,407.6126,1.6685,1.4223,1.9515,7.3849
2,2009-08-31,36,6-11,391.0000,312.5189,286.6263,335.5676,1.9157,1.6536,2.2060,8.2114
2,2009-08-31,36,12-17,558.8571,411.3325,380.3783,422.3237,1.9615,1.6880,2.2446,8.1968
2,2009-08-31,36,18-44,1195.4286,1131.7411,1051.7971,1223.7173,0.9973,0.8651,1.1529,4.4018
2,2009-08-31,36,45-64,517.4286,490.5946,455.7208,535.1545,0.9568,0.8344,1.0951,4.3391
2,2009-08-31,36,65+,720.2857,683.1151,638.9302,732.5841,1.0905,0.9233,1.2773,5.3783
3,2009-09-01,36,0-5,455.8571,405.0434,362.5395,454.7640,1.5847,1.3605,1.8409,3.4570
3,2009-09-01,36,6-11,410.8571,346.9159,305.2811,386.6718,1.8282,1.5934,2.1050,3.8693
3,2009-09-01,36,12-17,592.8571,466.9468,416.3537,500.9516,1.9078,1.6389,2.2133,3.8661
3,2009-09-01,36,18-44,1249.2857,1194.5874,1063.3974,1346.8817,0.9426,0.8201,1.0811,2.0676
3,2009-09-01,36,45-64,533.4286,508.9724,450.7305,579.4368,0.9051,0.7933,1.0296,2.0333
3,2009-09-01,36,65+,731.1429,684.4258,613.8380,765.3390,1.0403,0.8929,1.2112,2.5061
4,2009-09-02,36,0-5,481.8571,436.7245,380.5955,498.1343,1.4786,1.2691,1.7228,2.4142
4,2009-09-02,36,6-11,429.7143,382.8638,329.2841,439.5967,1.7075,1.4869,1.9611,2.6814
4,2009-09-02,36,12-17,631.4286,535.1799,468.8000,599.2377,1.7818,1.5336,2.0618,2.6942
4,2009-09-02,36,18-44,1296.4286,1247.2619,1081.4724,1430.2122,0.8765,0.7646,1.0042,1.4300
4,2009-09-02,36,45-64,551.8571,522.0492,450.0583,607.2349,0.8434,0.7413,0.9577,1.4001
