day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
1,2015-08-30,36,0-5,14.8571,13.9897,10.5653,17.4728,1.3030,1.0219,1.6441,NA
1,2015-08-30,36,6-11,14.8571,13.4796,10.2851,17.0057,1.5512,1.2590,1.9002,NA
1,2015-08-30,36,12-17,8.2857,8.1626,5.6808,10.7062,1.4742,1.1924,1.8190,NA
1,2015-08-30,36,18-44,31.7143,29.9970,24.7442,36.0087,0.9455,0.7631,1.1586,NA
1,2015-08-30,36,45-64,25.7143,23.7177,19.2274,28.9061,0.9964,0.8009,1.2266,NA
1,2015-08-30,36,65+,15.5714,15.9997,12.2403,20.1397,1.0910,0.8666,1.3554,NA
2,2015-08-31,36,0-5,15.1429,13.4157,10.9830,16.1509,1.2788,1.0353,1.5683,7.2567
2,2015-08-31,36,6-11,15.2857,13.1719,10.8031,15.9669,1.5678,1.2957,1.8796,8.3645
2,2015-08-31,36,12-17,8.0000,8.1803,6.2648,10.0616,1.4939,1.2287,1.8016,7.2559
2,2015-08-31,36,18-44,31.7143,31.6894,27.3533,36.5056,0.9231,0.7714,1.1030,4.4301
2,2015-08-31,36,45-64,26.2857,24.4936,20.9050,28.6251,0.9753,0.8102,1.1667,4.6190
2,2015-08-31,36,65+,15.2857,16.3254,13.3696,19.5909,1.0764,0.8791,1.3081,5.1207
3,2015-09-01,36,0-5,14.8571,12.7745,10.5707,15.4160,1.2575,1.0380,1.5210,3.3661
3,2015-09-01,36,6-11,15.1429,12.9453,10.6064,15.5488,1.5753,1.3240,1.8759,3.9063
3,2015-09-01,36,12-17,8.5714,8.3034,6.4854,10.1467,1.5221,1.2767,1.8183,3.5163
3,2015-09-01,36,18-44,33.7143,33.3436,28.5843,38.9718,0.9060,0.7712,1.0712,2.1178
3,2015-09-01,36,45-64,26.4286,25.3964,21.6715,29.9377,0.9594,0.8121,1.1320,2.2269
3,2015-09-01,36,65+,17.7143,16.7500,13.9376,19.9878,1.0617,0.8824,1.2760,2.5574
4,2015-09-02,36,0-5,13.5714,12.1481,9.9797,14.9762,1.2431,1.0329,1.4871,2.1743
4,2015-09-02,36,6-11,14.5714,12.9141,10.4920,15.6565,1.5841,1.3466,1.8710,2.5816
4,2015-09-02,36,12-17,8.4286,8.6038,6.8295,10.5757,1.5583,1.3142,1.8504,2.3427
4,2015-09-02,36,18-44,34.1429,34.5687,29.0770,41.4568,0.8972,0.7681,1.0513,1.4143
4,2015-09-02,36,45-64,26.2857,26.2682,21.8367,31.6693,0.9515,0.8127,1.1145,1.4930
4,2015-09-02,36,65+,18.0000,17.2652,14.2076,21.0150,1.0512,0.8832,1.2487,1.7181
5,2015-09-03,36,0-5,13.4286,11.6720,9.3554,14.6000,1.2318,1.0312,1.4728,1.7327
5,2015-09-03,36,6-11,14.4286,13.0335,10.4413,16.0721,1.6013,1.3655,1.8897,2.0466
5,2015-09-03,36,12-17,8.2857,9.1174,7.2212,11.4705,1.5955,1.3422,1.8866,1.8402
5,2015-09-03,36,18-44,33.7143,35.3957,29.4265,42.9167,0.8928,0.7662,1.0439,1.1151
5,2015-09-03,36,45-64,26.0000,27.1419,22.0885,33.0325,0.9475,0.8124,1.1098,1.1717
5,2015-09-03,36,65+,17.5714,17.7903,14.4998,21.9382,1.0412,0.8794,1.2334,1.3387
6,2015-09-04,36,0-5,12.4286,11.2564,8.8274,14.2047,1.2264,1.0287,1.4657,1.4675
6,2015-09-04,36,6-11,13.4286,13.2824,10.5822,16.6105,1.6201,1.3768,1.9125,1.7447
6,2015-09-04,36,12-17,9.8571,9.8551,7.6448,12.4282,1.6164,1.3647,1.9148,1.7356
6,2015-09-04,36,18-44,33.5714,36.2202,30.0496,44.1469,0.8897,0.7642,1.0378,0.9732
6,2015-09-04,36,45-64,25.5714,27.9676,22.7068,34.1196,0.9448,0.8086,1.1052,1.0330
6,2015-09-04,36,65+,18.4286,18.2519,14.7797,22.6764,1.0322,0.8717,1.2220,1.1907
7,2015-09-05,36,0-5,10.8571,10.8935,8.4630,13.8046,1.2250,1.0251,1.4648,1.3428
7,2015-09-05,36,6-11,13.1429,13.6952,10.8757,17.2440,1.6388,1.3950,1.9282,1.6724
7,2015-09-05,36,12-17,10.7143,10.6459,8.2188,13.4252,1.6196,1.3719,1.9182,1.7296
7,2015-09-05,36,18-44,37.1429,36.9742,30.7226,45.1115,0.8853,0.7611,1.0331,0.9644
