day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
1,2018-09-02,36,0-5,11.8571,12.3398,9.2227,15.8726,1.5014,1.1875,1.8768,NA
1,2018-09-02,36,6-11,20.0000,18.6803,15.0171,22.4589,1.8268,1.4851,2.2502,NA
1,2018-09-02,36,12-17,7.1429,6.8753,4.9115,9.0316,1.7184,1.4156,2.0941,NA
1,2018-09-02,36,18-44,26.7143,24.0903,19.3354,29.2514,1.0022,0.8144,1.2233,NA
1,2018-09-02,36,45-64,18.1429,17.4352,13.4066,22.0874,1.0187,0.8234,1.2508,NA
1,2018-09-02,36,65+,10.2857,10.6542,7.7116,14.1174,1.0970,0.8713,1.3708,NA
2,2018-09-03,36,0-5,12.7143,12.4737,10.0372,14.9683,1.4972,1.2156,1.8330,7.1271
2,2018-09-03,36,6-11,22.2857,18.9240,15.8880,21.8803,1.8841,1.5540,2.2408,9.0899
2,2018-09-03,36,12-17,8.4286,7.4747,5.6021,9.2120,1.8042,1.4964,2.1804,7.6145
2,2018-09-03,36,18-44,26.7143,26.2443,22.2417,30.6262,0.9842,0.8250,1.1675,4.2471
2,2018-09-03,36,45-64,18.1429,18.0843,15.0705,21.5327,1.0000,0.8320,1.1918,4.2954
2,2018-09-03,36,65+,11.0000,11.1511,8.7874,13.7949,1.0814,0.8811,1.3159,4.7549
3,2018-09-04,36,0-5,13.1429,12.6755,10.3547,15.2102,1.4777,1.2217,1.7830,3.3209
3,2018-09-04,36,6-11,21.8571,19.4217,16.3023,23.2108,1.8966,1.5984,2.2314,4.1119
3,2018-09-04,36,12-17,9.8571,8.3375,6.5603,10.2865,1.8465,1.5460,2.2305,3.7492
3,2018-09-04,36,18-44,28.2857,28.4106,23.9275,33.5614,0.9582,0.8171,1.1233,2.0154
3,2018-09-04,36,45-64,19.5714,18.9617,15.7141,22.5293,0.9741,0.8244,1.1438,2.0684
3,2018-09-04,36,65+,12.0000,11.7817,9.4561,14.4693,1.0566,0.8768,1.2635,2.2984
4,2018-09-05,36,0-5,13.8571,12.9682,10.4709,15.8116,1.4479,1.2095,1.7340,2.3376
