Np,day,age_group,ess,resampled
100000,39,0-5,74207.68602048945,false
100000,39,6-11,52499.664750522184,false
100000,39,12-17,89018.39878436505,false
100000,39,18-44,60099.26433278733,false
100000,39,45-64,90451.60985510689,false
100000,39,65+,90690.24544695861,false
100000,40,0-5,60118.53850319261,false
100000,40,6-11,43860.67597848165,true
100000,40,12-17,72092.46341852711,false
100000,40,18-44,48147.30628874301,true
100000,40,45-64,75233.26547321156,false
100000,40,65+,75883.87123510851,false
100000,41,0-5,48629.17190236623,true
100000,41,6-11,92644.36459665227,false
100000,41,12-17,57296.662744844994,false
100000,41,18-44,90127.90866665564,false
100000,41,45-64,61186.30920462159,false
100000,41,65+,62142.132488047675,false
100000,42,0-5,90833.85682989142,false
100000,42,6-11,79925.29516546612,false
100000,42,12-17,45552.94418385724,true
100000,42,18-44,74782.83558230681,false
100000,42,45-64,49689.73771562177,true
100000,42,65+,50815.35368980181,false
100000,43,0-5,75919.92883733253,false
100000,43,6-11,67742.39300164323,false
100000,43,12-17,89748.60855309942,false
100000,43,18-44,60954.421812260814,false
100000,43,45-64,90718.95702638934,false
100000,43,65+,41674.68953871231,true
100000,44,0-5,62282.66112838096,false
100000,44,6-11,57330.55470827345,false
100000,44,12-17,73613.6320787466,false
100000,44,18-44,49468.21908830221,true
100000,44,45-64,75880.30438734319,false
100000,44,65+,91351.03639746655,false
100000,45,0-5,50978.75418936835,false
100000,45,6-11,48562.6002144242,true
100000,45,12-17,59092.91012640622,false
100000,45,18-44,90755.72691884838,false
100000,45,45-64,62111.54009909836,false
100000,45,65+,77005.41003814005,false
100000,46,0-5,41819.529539729505,true
100000,46,6-11,93184.61478658125,false
100000,46,12-17,47305.659264747206,true
100000,46,18-44,75623.35594027572,false
100000,46,45-64,50646.48616424772,false
100000,46,65+,63517.321551860296,false
100000,47,0-5,91614.29014275013,false
100000,47,6-11,80913.94460756175,false
100000,47,12-17,90390.9867105884,false
100000,47,18-44,61658.79894236267,false
100000,47,45-64,41344.37955587155,true
100000,47,65+,52129.74759339899,false
100000,48,0-5,77360.172657121,false
100000,48,6-11,68729.14709365385,false
100000,48,12-17,74995.46700058234,false
100000,48,18-44,50152.83035499173,false
100000,48,45-64,90946.22071737393,false
100000,48,65+,42756.45513247075,true
100000,49,0-5,63727.07279990974,false
100000,49,6-11,57959.94063396858,false
100000,49,12-17,60946.531825163765,false
100000,49,18-44,40842.059415606214,true
100000,49,45-64,76211.54414215888,false
100000,49,65+,91503.13484252452,false
100000,50,0-5,52259.91131890514,false
100000,50,6-11,48778.84721897123,true
100000,50,12-17,49393.31222277201,true
100000,50,18-44,90905.85316914668,false
100000,50,45-64,62429.426692536865,false
100000,50,65+,77412.03457031418,false
100000,51,0-5,43006.89093643122,true
100000,51,6-11,92905.33155078413,false
100000,51,12-17,90873.21093743488,false
100000,51,18-44,75851.10171285717,false
100000,51,45-64,50895.43258313601,false
100000,51,65+,64122.51046938845,false
100000,52,0-5,91788.10271720828,false
100000,52,6-11,80367.34205217569,false
100000,52,12-17,75690.08353281074,false
100000,52,18-44,61860.227453208885,false
100000,52,45-64,41589.668819570106,true
100000,52,65+,52813.46862448262,false
100000,53,0-5,77800.30069425292,false
100000,53,6-11,67974.15762858365,false
100000,53,12-17,61697.741816434136,false
100000,53,18-44,50226.74890370721,false
100000,53,45-64,91190.65589183487,false
100000,53,65+,43275.554150571086,true
100000,54,0-5,64352.27808440362,false
100000,54,6-11,56992.152894302366,false
100000,54,12-17,50046.16638105923,false
100000,54,18-44,40797.32855067992,true
100000,54,45-64,76655.21044047597,false
100000,54,65+,91410.18587153434,false
100000,55,0-5,52781.29751068539,false
100000,55,6-11,47566.63447870217,true
100000,55,12-17,40599.2000122162,true
100000,55,18-44,91077.75409554598,false
100000,55,45-64,62912.549057936325,false
100000,55,65+,77363.15202771516,false
100000,56,0-5,43351.031709601455,true
100000,56,6-11,92468.63405964164,false
100000,56,12-17,91057.87041034609,false
