day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
1,2011-08-28,36,0-5,41.4286,40.0603,34.0858,46.3416,1.4998,1.2082,1.8520,NA
1,2011-08-28,36,6-11,39.0000,40.1275,34.6615,46.9934,1.7174,1.4184,2.0438,NA
1,2011-08-28,36,12-17,25.5714,22.9292,18.6031,28.3999,1.6477,1.3533,2.0028,NA
1,2011-08-28,36,18-44,72.1429,74.9081,65.8781,84.8222,0.9247,0.7627,1.1172,NA
1,2011-08-28,36,45-64,50.8571,52.5590,44.9414,60.1793,0.9326,0.7648,1.1342,NA
1,2011-08-28,36,65+,27.2857,28.3109,22.8059,34.1359,0.9650,0.7804,1.1813,NA
2,2011-08-29,36,0-5,42.7143,40.7475,35.8125,46.0602,1.5123,1.2629,1.8078,7.4141
2,2011-08-29,36,6-11,41.0000,41.1954,36.3389,46.7293,1.7830,1.5121,2.0684,8.4848
2,2011-08-29,36,12-17,28.7143,24.4716,20.9685,28.3834,1.7179,1.4265,2.0530,8.0179
2,2011-08-29,36,18-44,73.5714,78.3877,70.0388,87.7614,0.9175,0.7850,1.0756,4.3179
2,2011-08-29,36,45-64,53.2857,54.2407,48.0146,61.1684,0.9251,0.7841,1.0898,4.3901
2,2011-08-29,36,65+,27.1429,28.7499,24.4479,33.4006,0.9564,0.7971,1.1385,4.6738
3,2011-08-30,36,0-5,44.5714,42.0841,36.6493,48.8283,1.5055,1.2738,1.7782,3.4695
3,2011-08-30,36,6-11,43.8571,43.0225,37.7549,48.9954,1.7963,1.5432,2.0979,3.9993
3,2011-08-30,36,12-17,31.0000,26.7821,22.8644,31.5573,1.7355,1.4830,2.0280,3.7530
3,2011-08-30,36,18-44,75.0000,81.3845,71.1804,94.0350,0.9099,0.7874,1.0555,1.9958
3,2011-08-30,36,45-64,54.0000,56.2358,48.9247,65.0226,0.9166,0.7884,1.0692,2.0151
3,2011-08-30,36,65+,26.7143,29.3399,24.6801,34.4453,0.9530,0.8077,1.1169,2.1253
4,2011-08-31,36,0-5,46.5714,43.6321,37.3266,51.6389,1.4753,1.2499,1.7473,2.4409
4,2011-08-31,36,6-11,50.5714,45.6761,39.1532,51.8564,1.7681,1.5280,2.0601,2.9345
4,2011-08-31,36,12-17,34.0000,29.6685,24.8810,35.8077,1.7113,1.4651,1.9901,2.6619
4,2011-08-31,36,18-44,79.7143,83.1371,71.1746,98.3503,0.8925,0.7761,1.0266,1.4071
4,2011-08-31,36,45-64,54.7143,57.9690,49.1206,68.3981,0.9020,0.7787,1.0436,1.4075
4,2011-08-31,36,65+,28.1429,30.0067,24.9072,35.8239,0.9430,0.8059,1.1024,1.4914
5,2011-09-01,36,0-5,50.0000,44.8978,38.2462,53.6196,1.4280,1.2109,1.6908,2.0235
5,2011-09-01,36,6-11,55.4286,48.2354,40.7840,56.0875,1.7081,1.4735,1.9913,2.4216
5,2011-09-01,36,12-17,35.5714,32.6104,27.1967,39.2216,1.6583,1.4161,1.9451,2.1421
5,2011-09-01,36,18-44,84.0000,84.7206,71.9437,101.1410,0.8674,0.7556,1.0006,1.1450
5,2011-09-01,36,45-64,55.8571,59.5378,49.5291,71.2476,0.8805,0.7613,1.0194,1.1325
5,2011-09-01,36,65+,28.0000,30.6522,25.2883,36.9109,0.9274,0.7932,1.0824,1.1891
6,2011-09-02,36,0-5,51.7143,46.1749,39.0189,55.3114,1.3637,1.1548,1.6188,1.7923
6,2011-09-02,36,6-11,56.5714,50.4775,42.4922,59.9138,1.6306,1.4026,1.8999,2.1134
6,2011-09-02,36,12-17,37.5714,35.4773,29.3675,42.6887,1.5834,1.3562,1.8717,1.9267
6,2011-09-02,36,18-44,89.7143,87.3339,73.9671,103.9095,0.8337,0.7257,0.9617,1.0384
6,2011-09-02,36,45-64,61.8571,61.4737,51.0591,73.6533,0.8497,0.7349,0.9819,1.0467
6,2011-09-02,36,65+,32.2857,31.5183,25.7743,38.3289,0.9016,0.7680,1.0537,1.1236
7,2011-09-03,36,0-5,49.4286,47.0912,39.7177,56.3219,1.3115,1.1030,1.5553,1.5745
7,2011-09-03,36,6-11,55.1429,52.2532,44.1446,62.1868,1.5429,1.3260,1.8131,1.8717
7,2011-09-03,36,12-17,40.0000,37.9785,31.6398,45.4135,1.5016,1.2836,1.7679,1.8034
7,2011-09-03,36,18-44,93.7143,91.0001,76.8542,107.2549,0.7947,0.6903,0.9186,0.9567
7,2011-09-03,36,45-64,68.1429,64.1409,53.3209,76.2801,0.8097,0.6988,0.9366,0.9842
7,2011-09-03,36,65+,33.8571,32.6820,27.0110,39.7898,0.8638,0.7366,1.0100,1.0513
8,2011-09-04,37,0-5,47.8571,47.7909,40.2150,57.3183,1.2607,1.0615,1.4946,1.4350
8,2011-09-04,37,6-11,56.1429,53.5158,45.2690,63.2670,1.4580,1.2516,1.7087,1.7388
8,2011-09-04,37,12-17,41.7143,39.9436,33.4463,47.5697,1.4129,1.2072,1.6603,1.6872
8,2011-09-04,37,18-44,95.4286,94.9317,80.7555,111.2734,0.7508,0.6525,0.8637,0.8859
8,2011-09-04,37,45-64,69.4286,66.5169,56.2933,78.4427,0.7609,0.6574,0.8791,0.9130
8,2011-09-04,37,65+,34.4286,33.9642,28.1904,41.3680,0.8150,0.6922,0.9557,0.9734
9,2011-09-05,37,0-5,47.7143,48.4940,40.5030,57.4914,1.2155,1.0192,1.4433,1.3779
9,2011-09-05,37,6-11,55.4286,54.1034,45.8455,64.1698,1.3852,1.1826,1.6182,1.6471
9,2011-09-05,37,12-17,42.5714,41.4039,34.6848,49.1949,1.3268,1.1308,1.5596,1.6000
9,2011-09-05,37,18-44,100.1429,98.4036,83.0588,115.1935,0.7080,0.6156,0.8156,0.8502
9,2011-09-05,37,45-64,69.1429,68.3223,57.4425,80.5145,0.7124,0.6154,0.8232,0.8718
9,2011-09-05,37,65+,36.5714,35.1003,29.0223,42.1984,0.7610,0.6488,0.8931,0.9403
10,2011-09-06,37,0-5,46.5714,48.9151,40.9693,57.8508,1.1815,0.9950,1.4139,1.3411
10,2011-09-06,37,6-11,54.7143,54.0903,45.7217,64.2728,1.3269,1.1327,1.5529,1.6030
10,2011-09-06,37,12-17,42.5714,42.2200,35.3514,50.4556,1.2520,1.0642,1.4731,1.5537
10,2011-09-06,37,18-44,105.8571,100.3056,85.3071,117.4360,0.6726,0.5846,0.7751,0.8459
10,2011-09-06,37,45-64,73.2857,69.2130,57.5634,81.0785,0.6694,0.5782,0.7756,0.8733
10,2011-09-06,37,65+,40.0000,35.6074,29.6843,42.9352,0.7098,0.6086,0.8338,0.9534
11,2011-09-07,37,0-5,48.0000,49.3170,41.4614,58.3881,1.1631,0.9841,1.3882,1.3326
11,2011-09-07,37,6-11,54.2857,53.5820,45.4970,64.0179,1.2922,1.1018,1.5165,1.5608
11,2011-09-07,37,12-17,43.5714,42.4147,35.7882,50.4546,1.1988,1.0162,1.4090,1.5248
11,2011-09-07,37,18-44,106.0000,100.8508,86.1826,118.8316,0.6477,0.5633,0.7508,0.8303
11,2011-09-07,37,45-64,76.8571,68.8435,57.5745,80.3729,0.6375,0.5492,0.7410,0.8607
11,2011-09-07,37,65+,41.5714,35.5640,29.7278,42.6312,0.6701,0.5740,0.7894,0.9411
12,2011-09-08,37,0-5,47.2857,49.6273,41.8054,58.9340,1.1622,0.9751,1.3885,1.2925
12,2011-09-08,37,6-11,53.1429,52.8989,44.7102,63.4265,1.2853,1.1002,1.5050,1.5094
12,2011-09-08,37,12-17,45.5714,42.0852,35.6510,50.1150,1.1732,0.9899,1.3800,1.5054
12,2011-09-08,37,18-44,106.0000,100.5152,85.8541,118.1493,0.6383,0.5539,0.7410,0.8044
12,2011-09-08,37,45-64,76.7143,67.5173,56.7259,78.9884,0.6214,0.5357,0.7242,0.8330
12,2011-09-08,37,65+,42.0000,34.9421,29.2762,41.9894,0.6482,0.5541,0.7622,0.9093
13,2011-09-09,37,0-5,43.5714,49.9965,42.1810,59.3257,1.1725,0.9915,1.3983,1.1266
13,2011-09-09,37,6-11,45.1429,52.1792,43.9986,62.3404,1.2998,1.1104,1.5330,1.2600
13,2011-09-09,37,12-17,40.2857,41.5711,34.9966,49.6732,1.1786,1.0018,1.3892,1.2525
13,2011-09-09,37,18-44,90.7143,99.5139,85.2455,117.7422,0.6470,0.5619,0.7464,0.6628
13,2011-09-09,37,45-64,61.7143,65.6910,55.3303,77.1066,0.6265,0.5418,0.7254,0.6694
13,2011-09-09,37,65+,32.8571,33.8155,28.5620,40.7136,0.6488,0.5550,0.7562,0.7141
14,2011-09-10,37,0-5,50.2857,50.3043,42.6331,59.6898,1.1891,0.9994,1.4165,1.2002
14,2011-09-10,37,6-11,46.8571,51.5656,43.5493,61.6529,1.3337,1.1364,1.5657,1.2570
14,2011-09-10,37,12-17,37.1429,40.8835,34.2428,49.0952,1.2199,1.0384,1.4396,1.1436
14,2011-09-10,37,18-44,84.5714,98.9485,84.4086,116.8820,0.6714,0.5819,0.7789,0.6230
14,2011-09-10,37,45-64,51.7143,64.1209,54.4046,75.3672,0.6532,0.5637,0.7578,0.5964
14,2011-09-10,37,65+,26.2857,32.6625,27.5990,39.1762,0.6721,0.5752,0.7892,0.6164
15,2011-09-11,38,0-5,51.8571,50.2200,42.5653,59.4890,1.2015,1.0099,1.4283,1.2932
15,2011-09-11,38,6-11,51.0000,50.9420,43.0684,60.7890,1.3714,1.1722,1.6114,1.4099
