day,age_group,incidence
55,12-17,49866
55,18-44,152488
55,45-64,72841
55,65+,12742
56,0-5,26420
56,6-11,19120
56,12-17,35991
56,18-44,97894
56,45-64,63727
56,65+,9952
57,0-5,19140
57,6-11,10041
57,12-17,50091
57,18-44,113325
57,45-64,52346
57,65+,10330
58,0-5,20013
58,6-11,11246
58,12-17,35995
58,18-44,143886
58,45-64,58356
58,65+,8251
59,0-5,12079
59,6-11,13750
59,12-17,36304
59,18-44,111921
59,45-64,62513
59,65+,7609
60,0-5,27158
60,6-11,7205
60,12-17,36361
60,18-44,77317
60,45-64,61382
60,65+,10536
61,0-5,13428
61,6-11,9440
61,12-17,23159
61,18-44,97643
61,45-64,47999
61,65+,7014
62,0-5,12124
62,6-11,8122
62,12-17,21070
62,18-44,66314
62,45-64,39116
62,65+,6535
63,0-5,16220
63,6-11,5187
63,12-17,27894
63,18-44,83645
63,45-64,46636
63,65+,9861
64,0-5,13571
64,6-11,6625
64,12-17,19562
64,18-44,63106
64,45-64,39278
64,65+,7830
65,0-5,12086
65,6-11,6546
65,12-17,18246
65,18-44,57212
65,45-64,39763
65,65+,11783
66,0-5,9256
66,6-11,6020
66,12-17,16136
66,18-44,67106
66,45-64,40979
66,65+,6930
67,0-5,6600
67,6-11,4196
67,12-17,14174
67,18-44,52256
67,45-64,40767
67,65+,7916
68,0-5,7216
68,6-11,3427
68,12-17,18688
68,18-44,97240
68,45-64,26908
68,65+,5849
69,0-5,12837
69,6-11,3459
69,12-17,13443
69,18-44,60660
69,45-64,34857
69,65+,8540
70,0-5,6353
70,6-11,4476
70,12-17,13721
70,18-44,73494
70,45-64,41547
70,65+,6480
71,0-5,9413
71,6-11,2526
71,12-17,12720
71,18-44,44066
71,45-64,27841
71,65+,5810
72,0-5,5705
72,6-11,2710
72,12-17,12213
72,18-44,56092
72,45-64,31039
72,65+,5268
73,0-5,4366
73,6-11,3576
73,12-17,8892
73,18-44,47881
73,45-64,20248
73,65+,6070
74,0-5,3974
74,6-11,2668
74,12-17,5805
74,18-44,40858
74,45-64,31428
74,65+,4443
75,0-5,3389
75,6-11,2685
75,12-17,8049
75,18-44,27566
75,45-64,22851
75,65+,6677
76,0-5,3544
76,6-11,1780
76,12-17,10109
76,18-44,28510
76,45-64,14916
76,65+,3799
77,0-5,3305
77,6-11,1760
77,12-17,4987
77,18-44,37101
77,45-64,18640
77,65+,5933
78,0-5,2739
78,6-11,2168
78,12-17,5190
78,18-44,42273
78,45-64,18001
78,65+,3620
79,0-5,2995
79,6-11,1943
79,12-17,3961
79,18-44,26373
79,45-64,21133
79,65+,3671
80,0-5,2259
80,6-11,1296
80,12-17,6465
80,18-44,28095
80,45-64,15546
80,65+,3492
81,0-5,2620
81,6-11,1637
81,12-17,4541
81,18-44,22445
81,45-64,12107
81,65+,2824
82,0-5,2241
82,6-11,1250
82,12-17,2801
82,18-44,22433
82,45-64,10594
82,65+,1755
83,0-5,1839
83,6-11,1402
83,12-17,3437
83,18-44,27224
83,45-64,9484
83,65+,3082
84,0-5,2054
84,6-11,981
84,12-17,3505
84,18-44,25455
84,45-64,17765
84,65+,1909
85,0-5,2167
85,6-11,748
85,12-17,2688
85,18-44,12733
85,45-64,10884
85,65+,2035
86,0-5,1854
86,6-11,848
86,12-17,3038
86,18-44,24683
86,45-64,9819
86,65+,1993
87,0-5,1500
87,6-11,783
87,12-17,3235
87,18-44,20106
87,45-64,8802
87,65+,3120
88,0-5,1133
88,6-11,889
88,12-17,1884
88,18-44,15598
88,45-64,10230
88,65+,1677
89,0-5,1119
89,6-11,860
89,12-17,1305
89,18-44,14166
89,45-64,11253
89,65+,2336
90,0-5,1106
90,6-11,531
90,12-17,1745
90,18-44,12947
90,45-64,7899
90,65+,1524
91,0-5,1179
91,6-11,584
91,12-17,2159
91,18-44,17034
91,45-64,7044
