scenario,day,quantity,series,mid,lo,hi
step,20,obs,true,15,15,15
step,20,obs,PS,14.405503,9.217776,22.901838
step,20,obs,PF,14.405503,9.217776,22.901838
step,21,Rt,true,1.199970,1.199970,1.199970
step,21,Rt,PS,1.169614,0.699038,1.824186
step,21,Rt,PF,1.145278,0.396605,2.959992
step,21,obs,true,16,16,16
step,21,obs,PS,15.447022,9.962962,24.236257
step,21,obs,PF,15.447022,9.962962,24.236257
step,22,Rt,true,1.199968,1.199968,1.199968
step,22,Rt,PS,1.183753,0.716390,1.841940
step,22,Rt,PF,1.155821,0.402030,2.984400
step,22,obs,true,17,17,17
step,22,obs,PS,16.508961,10.667255,25.709303
step,22,obs,PF,16.508961,10.667255,25.709303
step,23,Rt,true,1.199966,1.199966,1.199966
step,23,Rt,PS,1.227863,0.757589,1.913054
step,23,Rt,PF,1.162354,0.402619,2.960962
step,23,obs,true,18,18,18
step,23,obs,PS,17.621194,11.499347,27.232754
step,23,obs,PF,17.621194,11.499347,27.232754
step,24,Rt,true,1.199963,1.199963,1.199963
step,24,Rt,PS,1.300699,0.805207,2.039046
step,24,Rt,PF,1.111385,0.389236,2.838188
step,24,obs,true,18,18,18
step,24,obs,PS,18.114915,11.914267,27.789136
step,24,obs,PF,18.114915,11.914267,27.789136
step,25,Rt,true,1.199960,1.199960,1.199960
step,25,Rt,PS,1.403683,0.872168,2.161282
step,25,Rt,PF,1.095610,0.388078,2.796145
step,25,obs,true,19,19,19
step,25,obs,PS,18.767064,12.489455,28.711365
step,25,obs,PF,18.767064,12.489455,28.711365
step,26,Rt,true,1.799937,1.799937,1.799937
step,26,Rt,PS,1.514202,0.929330,2.348127
step,26,Rt,PF,1.118723,0.397104,2.877494
step,26,obs,true,21,21,21
step,26,obs,PS,20.072265,13.420831,30.617168
step,26,obs,PF,20.072265,13.420831,30.617168
step,27,Rt,true,1.799930,1.799930,1.799930
step,27,Rt,PS,1.632370,1.032812,2.477957
step,27,Rt,PF,1.210349,0.434825,3.029777
step,27,obs,true,24,24,24
step,27,obs,PS,22.408600,15.079760,34.112945
step,27,obs,PF,22.408600,15.079760,34.112945
step,28,Rt,true,1.799922,1.799922,1.799922
step,28,Rt,PS,1.724979,1.088873,2.689446
step,28,Rt,PF,1.379045,0.505923,3.369122
step,28,obs,true,29,29,29
step,28,obs,PS,26.655042,18.058509,40.018377
step,28,obs,PF,26.655042,18.058509,40.018377
step,29,Rt,true,1.799912,1.799912,1.799912
step,29,Rt,PS,1.806148,1.149418,2.699677
step,29,Rt,PF,1.554501,0.587856,3.687618
step,29,obs,true,35,35,35
step,29,obs,PS,32.712550,22.409714,48.373375
step,29,obs,PF,32.712550,22.409714,48.373375
step,30,Rt,true,1.799901,1.799901,1.799901
step,30,Rt,PS,1.818355,1.193637,2.741278
step,30,Rt,PF,1.702804,0.656989,3.937679
step,30,obs,true,43,43,43
step,30,obs,PS,40.815977,28.281714,59.469312
step,30,obs,PF,40.815977,28.281714,59.469312
step,31,Rt,true,1.799887,1.799887,1.799887
step,31,Rt,PS,1.796169,1.172304,2.778062
step,31,Rt,PF,1.772332,0.708563,4.039809
step,31,obs,true,52,52,52
step,31,obs,PS,50.696404,35.644290,73.029767
step,31,obs,PF,50.696404,35.644290,73.029767
step,32,Rt,true,1.799870,1.799870,1.799870
step,32,Rt,PS,1.793206,1.166886,2.663437
step,32,Rt,PF,1.768186,0.704159,4.022549
step,32,obs,true,62,62,62
step,32,obs,PS,61.606169,44.047141,88.232271
step,32,obs,PF,61.606169,44.047141,88.232271
step,33,Rt,true,1.799850,1.799850,1.799850
step,33,Rt,PS,1.785911,1.155736,2.586979
step,33,Rt,PF,1.773273,0.727843,3.973070
step,33,obs,true,76,76,76
step,33,obs,PS,75.406937,54.316367,106.803019
step,33,obs,PF,75.406937,54.316367,106.803019
step,34,Rt,true,1.799826,1.799826,1.799826
step,34,Rt,PS,1.773176,1.150714,2.640300
step,34,Rt,PF,1.744456,0.719789,3.911299
step,34,obs,true,91,91,91
step,34,obs,PS,90.913555,66.180759,128.122299
step,34,obs,PF,90.913555,66.180759,128.122299
step,35,Rt,true,1.799796,1.799796,1.799796
step,35,Rt,PS,1.776986,1.161451,2.581204
step,35,Rt,PF,1.719164,0.707943,3.854041
step,35,obs,true,110,110,110
step,35,obs,PS,109.453350,80.284250,153.388783
step,35,obs,PF,109.453350,80.284250,153.388783
step,36,Rt,true,1.799760,1.799760,1.799760
step,36,Rt,PS,1.777199,1.163886,2.586342
step,36,Rt,PF,1.724116,0.696840,3.840231
step,36,obs,true,133,133,133
step,36,obs,PS,131.970229,97.625875,183.854067
step,36,obs,PF,131.970229,97.625875,183.854067
step,37,Rt,true,1.799717,1.799717,1.799717
step,37,Rt,PS,1.778834,1.177944,2.691983
step,37,Rt,PF,1.728054,0.715768,3.815309
step,37,obs,true,161,161,161
step,37,obs,PS,159.583798,118.429151,221.187128
step,37,obs,PF,159.583798,118.429151,221.187128
step,38,Rt,true,1.799665,1.799665,1.799665
step,38,Rt,PS,1.782805,1.167259,2.603666
step,38,Rt,PF,1.731729,0.723823,3.827522
step,38,obs,true,195,195,195
step,38,obs,PS,193.576372,143.852202,267.393242
step,38,obs,PF,193.576372,143.852202,267.393242
step,39,Rt,true,1.799602,1.799602,1.799602
step,39,Rt,PS,1.774964,1.155190,2.554273
step,39,Rt,PF,1.727932,0.719263,3.810958
step,39,obs,true,236,236,236
step,39,obs,PS,234.142647,174.963021,322.947604
step,39,obs,PF,234.142647,174.963021,322.947604
step,40,Rt,true,1.799525,1.799525,1.799525
step,40,Rt,PS,1.781935,1.172051,2.638531
step,40,Rt,PF,1.734340,0.719357,3.793703
step,40,obs,true,285,285,285
step,40,obs,PS,283.159572,212.542945,388.726219
step,40,obs,PF,283.159572,212.542945,388.726219
step,41,Rt,true,1.799433,1.799433,1.799433
step,41,Rt,PS,1.782612,1.175066,2.598189
step,41,Rt,PF,1.728633,0.722269,3.810902
step,41,obs,true,345,345,345
step,41,obs,PS,342.121626,257.550839,469.479185
step,41,obs,PF,342.121626,257.550839,469.479185
step,42,Rt,true,1.799321,1.799321,1.799321
step,42,Rt,PS,1.806181,1.168299,2.629046
step,42,Rt,PF,1.733740,0.728742,3.801394
step,42,obs,true,417,417,417
step,42,obs,PS,413.615540,312.342304,567.366001
step,42,obs,PF,413.615540,312.342304,567.366001
step,43,Rt,true,1.799186,1.799186,1.799186
step,43,Rt,PS,1.801634,1.177153,2.659780
step,43,Rt,PF,1.730886,0.729930,3.784668
step,43,obs,true,504,504,504
step,43,obs,PS,500.240091,376.662271,684.396610
step,43,obs,PF,500.240091,376.662271,684.396610
step,44,Rt,true,1.799023,1.799023,1.799023
