day,date,wk,age_group,cases,Rj_med,Rj_lo,Rj_hi
1,2018-09-02,36,0-5,11.8571,1.3030,1.0732,1.5628
1,2018-09-02,36,6-11,20.0000,1.7619,1.4620,2.1027
1,2018-09-02,36,12-17,7.1429,1.8742,1.5539,2.2523
1,2018-09-02,36,18-44,26.7143,1.2188,0.9949,1.4917
1,2018-09-02,36,45-64,18.1429,1.1048,0.8909,1.3622
1,2018-09-02,36,65+,10.2857,0.8796,0.6992,1.1009
2,2018-09-03,36,0-5,12.7143,1.2886,1.0873,1.5215
2,2018-09-03,36,6-11,22.2857,1.7744,1.5079,2.0953
2,2018-09-03,36,12-17,8.4286,1.8941,1.6024,2.2315
2,2018-09-03,36,18-44,26.7143,1.1982,1.0079,1.4257
2,2018-09-03,36,45-64,18.1429,1.0788,0.8975,1.2882
2,2018-09-03,36,65+,11.0000,0.8527,0.7023,1.0330
3,2018-09-04,36,0-5,13.1429,1.2616,1.0815,1.4671
3,2018-09-04,36,6-11,21.8571,1.7663,1.5177,2.0492
3,2018-09-04,36,12-17,9.8571,1.8884,1.6202,2.1890
3,2018-09-04,36,18-44,28.2857,1.1662,0.9962,1.3636
3,2018-09-04,36,45-64,19.5714,1.0454,0.8873,1.2269
3,2018-09-04,36,65+,12.0000,0.8232,0.6935,0.9772
4,2018-09-05,36,0-5,13.8571,1.2239,1.0612,1.4103
4,2018-09-05,36,6-11,21.5714,1.7389,1.5103,2.0030
4,2018-09-05,36,12-17,11.5714,1.8566,1.6090,2.1397
4,2018-09-05,36,18-44,31.1429,1.1267,0.9739,1.3090
4,2018-09-05,36,45-64,19.2857,1.0077,0.8661,1.1738
4,2018-09-05,36,65+,12.7143,0.7913,0.6755,0.9301
5,2018-09-06,36,0-5,13.8571,1.1772,1.0241,1.3530
5,2018-09-06,36,6-11,20.5714,1.6918,1.4721,1.9443
5,2018-09-06,36,12-17,12.1429,1.8045,1.5682,2.0730
5,2018-09-06,36,18-44,31.5714,1.0813,0.9377,1.2466
5,2018-09-06,36,45-64,19.8571,0.9649,0.8325,1.1164
5,2018-09-06,36,65+,12.5714,0.7553,0.6483,0.8811
6,2018-09-07,36,0-5,15.8571,1.1247,0.9811,1.2915
6,2018-09-07,36,6-11,24.5714,1.6299,1.4209,1.8786
6,2018-09-07,36,12-17,15.0000,1.7351,1.5068,1.9921
6,2018-09-07,36,18-44,31.7143,1.0316,0.8955,1.1905
6,2018-09-07,36,45-64,21.5714,0.9191,0.7940,1.0631
6,2018-09-07,36,65+,14.2857,0.7180,0.6187,0.8364
7,2018-09-08,36,0-5,15.8571,1.0704,0.9345,1.2286
7,2018-09-08,36,6-11,27.2857,1.5577,1.3541,1.7929
7,2018-09-08,36,12-17,17.0000,1.6499,1.4289,1.8967
7,2018-09-08,36,18-44,32.2857,0.9815,0.8539,1.1353
7,2018-09-08,36,45-64,23.1429,0.8744,0.7568,1.0149
7,2018-09-08,36,65+,16.0000,0.6810,0.5867,0.7933
8,2018-09-09,37,0-5,16.2857,1.0171,0.8874,1.1656
8,2018-09-09,37,6-11,30.0000,1.4799,1.2878,1.7070
8,2018-09-09,37,12-17,19.8571,1.5569,1.3517,1.7917
8,2018-09-09,37,18-44,34.5714,0.9325,0.8083,1.0741
8,2018-09-09,37,45-64,23.8571,0.8304,0.7172,0.9615
8,2018-09-09,37,65+,16.7143,0.6450,0.5547,0.7498
9,2018-09-10,37,0-5,15.5714,0.9758,0.8509,1.1203
9,2018-09-10,37,6-11,29.8571,1.4187,1.2356,1.6301
9,2018-09-10,37,12-17,19.8571,1.4763,1.2867,1.6958
9,2018-09-10,37,18-44,38.1429,0.8901,0.7720,1.0292
9,2018-09-10,37,45-64,24.4286,0.7933,0.6844,0.9213
9,2018-09-10,37,65+,16.7143,0.6137,0.5283,0.7141
10,2018-09-11,37,0-5,14.1429,0.9455,0.8228,1.0861
10,2018-09-11,37,6-11,31.1429,1.3675,1.1893,1.5837
10,2018-09-11,37,12-17,20.0000,1.4095,1.2254,1.6220
