day,age_group,Rj_est,true_Rj
147,12-17,0.930473,0.914269
147,18-44,0.667746,0.659167
147,45-64,0.699554,0.692463
147,65+,0.655083,0.650718
148,0-5,0.747607,0.733079
148,6-11,0.797762,0.784327
148,12-17,0.925117,0.908603
148,18-44,0.664606,0.655740
148,45-64,0.696703,0.689288
148,65+,0.652939,0.648259
149,0-5,0.742951,0.728208
149,6-11,0.793264,0.779606
149,12-17,0.919699,0.902880
149,18-44,0.661403,0.652252
149,45-64,0.693779,0.686043
149,65+,0.650722,0.645728
