day,age_group,Rj_est,true_Rj
21,6-11,2.525518,2.463448
21,12-17,1.682556,1.667356
21,18-44,0.840596,0.834200
21,45-64,0.697325,0.694499
21,65+,0.565187,0.562830
22,0-5,1.547685,1.528579
22,6-11,2.521693,2.453554
22,12-17,1.692309,1.675512
22,18-44,0.845729,0.838535
22,45-64,0.702705,0.699454
22,65+,0.569514,0.566857
23,0-5,1.553978,1.532962
23,6-11,2.514472,2.439441
23,12-17,1.701285,1.682849
23,18-44,0.850433,0.842399
23,45-64,0.707859,0.704184
23,65+,0.573674,0.570717
24,0-5,1.559214,1.536191
24,6-11,2.503329,2.420485
24,12-17,1.709362,1.689220
24,18-44,0.854636,0.845710
24,45-64,0.712743,0.708641
24,65+,0.577631,0.574373
25,0-5,1.563241,1.538076
25,6-11,2.487702,2.396044
25,12-17,1.716401,1.694459
25,18-44,0.858257,0.848378
25,45-64,0.717311,0.712775
25,65+,0.581348,0.577785
26,0-5,1.565886,1.538409
26,6-11,2.467020,2.365505
26,12-17,1.722245,1.698384
26,18-44,0.861212,0.850308
26,45-64,0.721509,0.716529
26,65+,0.584783,0.580910
27,0-5,1.566962,1.536973
27,6-11,2.440738,2.328335
27,12-17,1.726725,1.700803
27,18-44,0.863410,0.851409
27,45-64,0.725282,0.719848
27,65+,0.587893,0.583707
28,0-5,1.566277,1.533549
28,6-11,2.408379,2.284154
28,12-17,1.729663,1.701519
28,18-44,0.864764,0.851597
28,45-64,0.728574,0.722678
28,65+,0.590635,0.586138
29,0-5,1.563639,1.527933
29,6-11,2.369598,2.232815
29,12-17,1.730882,1.700336
29,18-44,0.865198,0.850805
29,45-64,0.731332,0.724969
29,65+,0.592971,0.588169
30,0-5,1.558875,1.519950
30,6-11,2.324241,2.174479
30,12-17,1.730212,1.697079
30,18-44,0.864647,0.848988
30,45-64,0.733510,0.726683
30,65+,0.594868,0.589777
31,0-5,1.551839,1.509469
31,6-11,2.272402,2.109682
31,12-17,1.727504,1.691596
31,18-44,0.863071,0.846135
31,45-64,0.735073,0.727795
31,65+,0.596305,0.590954
32,0-5,1.542429,1.496425
32,6-11,2.214469,2.039356
32,12-17,1.722639,1.683780
32,18-44,0.860462,0.842273
32,45-64,0.736001,0.728298
32,65+,0.597273,0.591705
33,0-5,1.530601,1.480829
33,6-11,2.151135,1.964809
33,12-17,1.715537,1.673573
33,18-44,0.856842,0.837470
33,45-64,0.736294,0.728206
33,65+,0.597781,0.592053
34,0-5,1.516377,1.462781
34,6-11,2.083382,1.887639
34,12-17,1.706167,1.660977
34,18-44,0.852271,0.831830
34,45-64,0.735968,0.727549
34,65+,0.597852,0.592035
35,0-5,1.499847,1.442463
35,6-11,2.012416,1.809602
35,12-17,1.694545,1.646053
35,18-44,0.846839,0.825488
35,45-64,0.735060,0.726377
35,65+,0.597525,0.591703
36,0-5,1.481168,1.420138
36,6-11,1.939582,1.732447
36,12-17,1.680739,1.628921
36,18-44,0.840665,0.818595
36,45-64,0.733622,0.724752
36,65+,0.596850,0.591115
37,0-5,1.460555,1.396133
37,6-11,1.866250,1.657761
37,12-17,1.664857,1.609753
37,18-44,0.833881,0.811312
37,45-64,0.731716,0.722744
37,65+,0.595886,0.590333
38,0-5,1.438271,1.370818
38,6-11,1.793717,1.586842
38,12-17,1.647050,1.588767
38,18-44,0.826627,0.803791
38,45-64,0.729412,0.720427
38,65+,0.594695,0.589417
39,0-5,1.414610,1.344588
39,6-11,1.723118,1.520628
39,12-17,1.627497,1.566216
39,18-44,0.819041,0.796173
39,45-64,0.726783,0.717872
39,65+,0.593338,0.588422
40,0-5,1.389886,1.317840
