day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
1,2010-08-29,36,0-5,54.7143,51.1825,44.0823,58.7052,1.4713,1.1823,1.8057,NA
1,2010-08-29,36,6-11,44.7143,41.5747,35.3790,48.3132,1.5762,1.3004,1.8917,NA
1,2010-08-29,36,12-17,23.2857,19.3936,15.1862,23.3398,1.5819,1.2828,1.9020,NA
1,2010-08-29,36,18-44,79.1429,74.0982,65.2935,83.6180,0.9411,0.7720,1.1340,NA
1,2010-08-29,36,45-64,63.7143,59.1690,51.4090,67.2907,0.9823,0.8015,1.1938,NA
1,2010-08-29,36,65+,33.1429,29.3033,24.2181,34.9896,1.0623,0.8584,1.3048,NA
2,2010-08-30,36,0-5,54.2857,51.0628,45.5556,57.4728,1.4733,1.2249,1.7650,7.3131
2,2010-08-30,36,6-11,44.1429,40.6329,36.0264,46.1428,1.5888,1.3447,1.8779,8.1058
2,2010-08-30,36,12-17,24.8571,20.0705,16.8128,23.1224,1.5864,1.3290,1.8942,7.4327
2,2010-08-30,36,18-44,81.2857,78.5744,70.2270,88.0857,0.9162,0.7806,1.0751,4.2270
2,2010-08-30,36,45-64,63.1429,61.0104,54.1126,68.6306,0.9530,0.8068,1.1282,4.3682
2,2010-08-30,36,65+,34.4286,30.6392,26.5393,35.2677,1.0318,0.8617,1.2307,4.7879
3,2010-08-31,36,0-5,55.4286,51.4339,45.2393,58.4610,1.4753,1.2453,1.7510,3.4326
3,2010-08-31,36,6-11,43.8571,40.0252,35.0565,45.9679,1.6021,1.3766,1.8691,3.7650
3,2010-08-31,36,12-17,26.2857,21.3996,17.9266,25.1703,1.5881,1.3516,1.8732,3.5229
3,2010-08-31,36,18-44,82.8571,83.0968,72.0666,96.0569,0.8963,0.7770,1.0373,1.9891
3,2010-08-31,36,45-64,65.5714,63.2825,55.0317,73.1282,0.9265,0.7974,1.0779,2.0679
3,2010-08-31,36,65+,36.5714,32.5990,27.8287,38.0612,0.9944,0.8476,1.1678,2.2845
4,2010-09-01,36,0-5,56.4286,52.5258,45.0541,60.9500,1.4702,1.2490,1.7374,2.3599
4,2010-09-01,36,6-11,41.8571,40.1636,34.2363,46.8828,1.6120,1.3952,1.8827,2.5167
4,2010-09-01,36,12-17,26.4286,23.3533,19.1687,28.1692,1.5855,1.3591,1.8549,2.3790
4,2010-09-01,36,18-44,85.2857,86.2655,73.0047,101.6152,0.8792,0.7657,1.0128,1.3585
4,2010-09-01,36,45-64,66.1429,65.5161,55.5633,77.5105,0.9019,0.7786,1.0478,1.4080
4,2010-09-01,36,65+,37.0000,34.3605,28.8451,41.0316,0.9585,0.8190,1.1212,1.5526
5,2010-09-02,36,0-5,53.7143,53.9920,45.6210,63.8855,1.4743,1.2494,1.7494,1.8314
5,2010-09-02,36,6-11,40.4286,40.9584,34.4458,48.4893,1.6371,1.4096,1.9089,1.9855
5,2010-09-02,36,12-17,26.4286,25.5261,20.8315,31.0594,1.5814,1.3541,1.8451,1.8925
5,2010-09-02,36,18-44,86.1429,88.8766,75.0795,105.2958,0.8683,0.7569,1.0026,1.0806
5,2010-09-02,36,45-64,67.0000,67.8709,56.8217,80.7633,0.8828,0.7646,1.0246,1.1253
5,2010-09-02,36,65+,37.0000,35.7294,29.6463,42.8890,0.9276,0.7974,1.0842,1.2366
6,2010-09-03,36,0-5,54.1429,55.7795,46.8774,66.1169,1.4728,1.2467,1.7451,1.6365
6,2010-09-03,36,6-11,41.4286,42.4869,35.4184,50.9787,1.6579,1.4280,1.9405,1.7960
6,2010-09-03,36,12-17,27.8571,27.8998,22.6607,34.2368,1.5837,1.3532,1.8539,1.7149
6,2010-09-03,36,18-44,89.7143,92.2965,77.8861,109.0932,0.8626,0.7499,0.9933,0.9731
6,2010-09-03,36,45-64,68.8571,70.2548,58.8767,83.8364,0.8716,0.7510,1.0104,1.0109
6,2010-09-03,36,65+,37.8571,36.5608,30.3741,44.0749,0.9050,0.7729,1.0598,1.1058
7,2010-09-04,36,0-5,59.0000,57.7648,48.2611,68.3611,1.4657,1.2360,1.7382,1.6047
7,2010-09-04,36,6-11,44.1429,44.6093,36.9050,53.9285,1.6692,1.4338,1.9544,1.7401
7,2010-09-04,36,12-17,30.4286,30.4383,24.9045,37.3056,1.5788,1.3469,1.8545,1.6597
7,2010-09-04,36,18-44,93.1429,96.0187,81.6187,113.7532,0.8545,0.7433,0.9857,0.9286
7,2010-09-04,36,45-64,71.7143,72.5432,61.1725,86.3248,0.8591,0.7414,0.9967,0.9545
7,2010-09-04,36,65+,37.0000,37.0177,30.7259,44.3032,0.8865,0.7583,1.0363,1.0226
