day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
9,2016-09-05,37,12-17,6.2857,6.3136,4.7269,8.5060,1.2417,1.0466,1.4745,1.3370
9,2016-09-05,37,18-44,33.4286,34.0957,28.3110,41.1553,0.7594,0.6484,0.8929,0.8491
9,2016-09-05,37,45-64,28.4286,29.9868,24.9196,36.9792,0.7896,0.6699,0.9253,0.9118
9,2016-09-05,37,65+,21.1429,19.7317,15.8369,24.5916,0.8848,0.7365,1.0455,1.0715
10,2016-09-06,37,0-5,9.4286,10.0853,7.7534,12.8997,1.1607,0.9609,1.4075,1.1983
10,2016-09-06,37,6-11,14.5714,13.1453,10.4410,16.4858,1.3592,1.1472,1.6047,1.5398
10,2016-09-06,37,12-17,6.4286,6.5960,4.9964,8.9085,1.2266,1.0372,1.4613,1.2805
10,2016-09-06,37,18-44,33.0000,34.2524,28.4809,41.1549,0.7429,0.6324,0.8792,0.8061
10,2016-09-06,37,45-64,25.7143,29.0054,24.1271,35.2798,0.7675,0.6512,0.9038,0.8420
10,2016-09-06,37,65+,19.2857,19.4101,15.6648,24.3081,0.8518,0.7109,1.0195,0.9725
11,2016-09-07,37,0-5,10.1429,10.1535,7.8714,13.0038,1.1504,0.9535,1.3836,1.2512
11,2016-09-07,37,6-11,12.8571,12.9715,10.3995,16.2095,1.3265,1.1241,1.5665,1.4742
11,2016-09-07,37,12-17,7.7143,6.8778,5.2067,9.1680,1.2123,1.0215,1.4411,1.3862
11,2016-09-07,37,18-44,34.7143,34.1305,28.2719,41.2539,0.7267,0.6231,0.8521,0.8257
11,2016-09-07,37,45-64,26.5714,28.0754,23.3116,33.6881,0.7501,0.6388,0.8797,0.8603
11,2016-09-07,37,65+,18.4286,18.9288,15.3380,23.4692,0.8304,0.6951,0.9910,0.9625
12,2016-09-08,37,0-5,10.0000,10.2182,7.9628,13.0346,1.1397,0.9445,1.3769,1.2364
12,2016-09-08,37,6-11,13.1429,12.7024,10.1973,15.8064,1.3003,1.1010,1.5480,1.4821
12,2016-09-08,37,12-17,7.8571,7.0742,5.3734,9.3514,1.1937,1.0020,1.4201,1.3747
12,2016-09-08,37,18-44,34.7143,33.8419,28.2888,41.0445,0.7093,0.6108,0.8392,0.8200
12,2016-09-08,37,45-64,26.2857,27.0326,22.3502,32.4685,0.7318,0.6243,0.8648,0.8533
12,2016-09-08,37,65+,18.2857,18.2044,14.6918,22.5794,0.8091,0.6775,0.9719,0.9555
13,2016-09-09,37,0-5,11.0000,10.2860,8.0840,13.0544,1.1291,0.9292,1.3610,1.3255
13,2016-09-09,37,6-11,13.4286,12.3788,9.8558,15.5000,1.2824,1.0775,1.5268,1.5448
13,2016-09-09,37,12-17,9.0000,7.2219,5.4919,9.4947,1.1764,0.9898,1.4013,1.4735
