day,age_group,incidence,incidence_per1000,incidence_per100k
25,65+,743.913420,0.080273,8.027303
26,0-5,6241.868991,3.483598,348.359794
26,6-11,39729.377274,14.673423,1467.342251
26,12-17,6185.700699,2.231415,223.141487
26,18-44,18407.156202,1.021297,102.129670
26,45-64,4929.833728,0.292104,29.210421
26,65+,910.559366,0.098255,9.825519
27,0-5,7536.321247,4.206034,420.603400
27,6-11,46672.912574,17.237908,1723.790839
27,12-17,7525.482085,2.714724,271.472440
27,18-44,22380.349545,1.241744,124.174407
27,45-64,6029.107041,0.357239,35.723873
27,65+,1111.377766,0.119925,11.992479
28,0-5,9061.997971,5.057517,505.751683
28,6-11,54317.819328,20.061435,2006.143482
28,12-17,9123.405142,3.291155,329.115534
28,18-44,27089.486627,1.503024,150.302431
28,45-64,7347.248756,0.435342,43.534172
28,65+,1351.491718,0.145835,14.583462
29,0-5,10839.753381,6.049685,604.968522
29,6-11,62528.143683,23.093789,2309.378938
29,12-17,11011.615446,3.972304,397.230381
29,18-44,32610.565163,1.809354,180.935405
29,45-64,8913.784102,0.528163,52.816262
29,65+,1635.950409,0.176530,17.652954
30,0-5,12883.625658,7.190374,719.037389
30,6-11,71084.065893,26.253785,2625.378508
30,12-17,13218.712345,4.768487,476.848666
30,18-44,39002.002914,2.163975,216.397451
30,45-64,10756.251370,0.637333,63.733312
30,65+,1969.336221,0.212504,21.250400
31,0-5,15197.094747,8.481525,848.152502
31,6-11,79678.808818,29.428119,2942.811861
31,12-17,15766.271820,5.687487,568.748717
31,18-44,46293.687618,2.568544,256.854399
31,45-64,12897.525822,0.764209,76.420866
31,65+,2355.268916,0.254149,25.414861
32,0-5,17769.158643,9.916998,991.699835
32,6-11,87929.104962,32.475236,3247.523612
32,12-17,18664.805900,6.733097,673.309742
32,18-44,54475.424374,3.022497,302.249682
32,45-64,15352.693484,0.909683,90.968310
32,65+,2795.841638,0.301689,30.168924
33,0-5,20570.831334,11.480617,1148.061675
33,6-11,95402.189379,35.235303,3523.530267
33,12-17,21909.552418,7.903600,790.359952
33,18-44,63486.547941,3.522467,352.246709
33,45-64,18125.790738,1.073996,107.399562
33,65+,3291.053781,0.355126,35.512580
34,0-5,23552.833856,13.144878,1314.487755
34,6-11,101658.549787,37.545991,3754.599128
34,12-17,25476.681038,9.190397,919.039696
34,18-44,73208.929413,4.061901,406.190055
34,45-64,21206.873990,1.256557,125.655703
34,65+,3838.331698,0.414181,41.418060
35,0-5,26645.268355,14.870771,1487.077062
35,6-11,106304.720836,39.261982,3926.198170
35,12-17,29320.616863,10.577049,1057.704917
35,18-44,83465.594545,4.630978,463.097804
35,45-64,24569.961263,1.455828,145.582784
35,65+,4432.238450,0.478267,47.826694
36,0-5,29759.863711,16.609032,1660.903171
36,6-11,109046.030685,40.274442,4027.444151
36,12-17,33373.156777,12.038953,1203.895273
36,18-44,94026.494436,5.216936,521.693560
36,45-64,28172.341504,1.669277,166.927732
36,65+,5064.458606,0.546488,54.648755
37,0-5,32794.956334,18.302922,1830.292218
37,6-11,109727.494748,40.526130,4052.612957
37,12-17,37544.855439,13.543841,1354.384132
37,18-44,104621.660832,5.804794,580.479438
37,45-64,31955.558439,1.893442,189.344179
37,65+,5724.101281,0.617667,61.766722
38,0-5,35642.808320,19.892313,1989.231333
38,6-11,108353.242562,40.018571,4001.857108
38,12-17,41728.814362,15.053153,1505.315265
38,18-44,114960.356943,6.378423,637.842325
38,45-64,35848.078330,2.124083,212.408273
38,65+,6398.302853,0.690418,69.041789
39,0-5,38198.327169,21.318553,2131.855285
39,6-11,105080.431697,38.809810,3880.980970
39,12-17,45806.601451,16.524164,1652.416381
39,18-44,124753.416688,6.921778,692.177821
39,45-64,39769.328538,2.356426,235.642600
39,65+,7073.048443,0.763227,76.322727
40,0-5,40367.907543,22.529399,2252.939943
40,6-11,100190.381818,37.003746,3700.374646
40,12-17,49655.666788,17.912666,1791.266643
40,18-44,133735.243112,7.420123,742.012296
40,45-64,43634.545662,2.585449,258.544918
40,65+,7734.088427,0.834558,83.455772
41,0-5,42077.074294,23.483288,2348.328837
41,6-11,94045.014405,34.734051,3473.405137
41,12-17,53157.392016,19.175870,1917.587041
41,18-44,141682.145304,7.861046,786.104631
41,45-64,47359.769739,2.806177,280.617744
41,65+,8367.815995,0.902941,90.294099
42,0-5,43275.869579,24.152338,2415.233810
42,6-11,87038.883809,32.146447,3214.644690
42,12-17,56204.854036,20.275205,2027.520457
42,18-44,148424.708036,8.235148,823.514848
42,45-64,50866.378694,3.013952,301.395225
42,65+,8961.994575,0.967057,96.705667
43,0-5,43941.398862,24.523771,2452.377115
43,6-11,79556.000048,29.382761,2938.276112
43,12-17,58709.484516,21.178719,2117.871898
43,18-44,153853.311090,8.536347,853.634733
43,45-64,54084.732826,3.204647,320.464728
43,65+,9506.268457,1.025787,102.578731
44,0-5,44077.485298,24.599721,2459.972123
44,6-11,71937.426081,26.568960,2656.896029
44,12-17,60606.016309,21.862869,2186.286932
44,18-44,157917.275974,8.761831,876.183105
44,45-64,56956.721380,3.374819,337.481934
44,65+,9992.439961,1.078248,107.824833
45,0-5,43711.842688,24.395655,2439.565545
45,6-11,64461.862813,23.807978,2380.797822
45,12-17,61855.368820,22.313558,2231.355775
45,18-44,160619.070436,8.911737,891.173654
45,45-64,59437.204628,3.521794,352.179379
45,65+,10414.537539,1.123795,112.379536
46,0-5,42891.476896,23.937808,2393.780787
46,6-11,57338.351483,21.177021,2117.702101
46,12-17,62445.388529,22.526400,2252.640005
46,18-44,162005.414982,8.988656,898.865603
46,45-64,61494.484575,3.643692,364.369245
46,65+,10768.723727,1.162014,116.201432
47,0-5,41677.139210,23.260084,2326.008390
47,6-11,50708.389506,18.728349,1872.834852
47,12-17,62389.594496,22.506273,2250.627305
47,18-44,162157.074215,8.997071,899.707064
47,45-64,63110.005660,3.739416,373.941587
47,65+,11053.099209,1.192700,119.270026
48,0-5,40137.607332,22.400868,2240.086848
48,6-11,44654.143321,16.492308,1649.230762
48,12-17,61724.260962,22.266262,2226.626222
48,18-44,161178.750037,8.942790,894.278962
48,45-64,64277.496826,3.808592,380.859246
48,65+,11267.453700,1.215830,121.583049
49,0-5,38344.413372,21.400084,2140.008381
49,6-11,39209.697264,14.481487,1448.148685
49,12-17,60504.288709,21.826172,2182.617235
49,18-44,159190.010563,8.832447,883.244704
49,45-64,65001.740923,3.851506,385.150562
49,65+,11413.001947,1.231536,123.153607
50,0-5,36367.431967,20.296727,2029.672705
50,6-11,34372.979525,12.695121,1269.512099
50,12-17,58798.369678,21.210783,2121.078320
50,18-44,156317.730636,8.673082,867.308239
50,45-64,65297.118419,3.869007,386.900743
50,65+,11492.129150,1.240074,124.007441
51,0-5,34271.534940,19.127003,1912.700327
51,6-11,30116.818226,11.123175,1112.317456
51,12-17,56683.939143,20.448029,2044.802858
51,18-44,152690.165767,8.471812,847.181175
51,45-64,65186.034642,3.862425,386.242545
51,65+,11508.158110,1.241804,124.180403
52,0-5,32114.344848,17.923072,1792.307173
52,6-11,26398.298433,9.749798,974.979758
52,12-17,54242.347223,19.567255,1956.725456
52,18-44,148432.553379,8.235584,823.558377
52,45-64,64697.310534,3.833467,383.346740
52,65+,11465.141901,1.237162,123.716231
53,0-5,29944.994064,16.712353,1671.235328
53,6-11,23166.127966,8.556046,855.604610
