day,age_group,incidence,incidence_per1000,incidence_per100k
25,65+,521.000000,0.056219,5.621924
26,0-5,5006.000000,2.793857,279.385731
26,6-11,31574.000000,11.661362,1166.136179
26,12-17,4891.000000,1.764368,176.436764
26,18-44,12223.000000,0.678177,67.817698
26,45-64,5062.000000,0.299935,29.993537
26,65+,852.000000,0.091936,9.193626
27,0-5,6060.000000,3.382097,338.209654
27,6-11,54682.000000,20.195939,2019.593924
27,12-17,5777.000000,2.083981,208.398116
27,18-44,29791.000000,1.652914,165.291421
27,45-64,7752.000000,0.459324,45.932418
27,65+,1282.000000,0.138336,13.833602
28,0-5,10006.000000,5.584366,558.436601
28,6-11,43608.000000,16.105931,1610.593099
28,12-17,6770.000000,2.442194,244.219360
28,18-44,24184.000000,1.341817,134.181723
28,45-64,10254.000000,0.607574,60.757355
28,65+,835.000000,0.090102,9.010185
29,0-5,9731.000000,5.430888,543.088803
29,6-11,65516.000000,24.197307,2419.730726
29,12-17,9714.000000,3.504205,350.420512
29,18-44,36598.000000,2.030592,203.059159
29,45-64,14148.000000,0.838302,83.830219
29,65+,1649.000000,0.177938,17.793767
30,0-5,7810.000000,4.358775,435.877459
30,6-11,67054.000000,24.765343,2476.534344
30,12-17,16339.000000,5.894092,589.409177
30,18-44,45006.000000,2.497098,249.709834
30,45-64,9346.000000,0.553772,55.377242
30,65+,2294.000000,0.247537,24.753731
31,0-5,13608.000000,7.594648,759.464847
31,6-11,68840.000000,25.424975,2542.497453
31,12-17,18329.000000,6.611960,661.195961
31,18-44,46164.000000,2.561348,256.134844
31,45-64,15541.000000,0.920841,92.084070
31,65+,2560.000000,0.276240,27.624041
32,0-5,20400.000000,11.385275,1138.527549
32,6-11,98077.000000,36.223202,3622.320203
32,12-17,17298.000000,6.240039,624.003913
32,18-44,43140.000000,2.393566,239.356580
32,45-64,19290.000000,1.142978,114.297775
32,65+,2402.000000,0.259191,25.919120
33,0-5,18296.000000,10.211029,1021.102943
33,6-11,125278.000000,46.269465,4626.946484
33,12-17,23371.000000,8.430799,843.079862
33,18-44,73909.000000,4.100743,410.074304
33,45-64,26242.000000,1.554900,155.490005
33,65+,4376.000000,0.472198,47.219845
34,0-5,18529.000000,10.341067,1034.106714
34,6-11,99695.000000,36.820785,3682.078495
34,12-17,30831.000000,11.121901,1112.190117
34,18-44,80671.000000,4.475924,447.592366
34,45-64,26422.000000,1.565565,156.556548
34,65+,3314.000000,0.357602,35.760184
35,0-5,29957.000000,16.719054,1671.905382
35,6-11,103880.000000,38.366449,3836.644908
35,12-17,23315.000000,8.410597,841.059732
35,18-44,90481.000000,5.020219,502.021853
35,45-64,22938.000000,1.359130,135.913030
35,65+,3464.000000,0.373788,37.378781
36,0-5,25023.000000,13.965380,1396.537983
36,6-11,146577.000000,54.135917,5413.591651
36,12-17,51590.000000,18.610453,1861.045317
36,18-44,109589.000000,6.080401,608.040062
36,45-64,26699.000000,1.581978,158.197838
36,65+,4956.000000,0.534784,53.478417
37,0-5,24962.000000,13.931336,1393.133563
37,6-11,97160.000000,35.884522,3588.452245
37,12-17,35264.000000,12.721051,1272.105099
37,18-44,109085.000000,6.052437,605.243685
37,45-64,23835.000000,1.412280,141.227966
37,65+,5380.000000,0.580536,58.053649
38,0-5,41306.000000,23.052950,2305.295046
38,6-11,130937.000000,48.359528,4835.952775
38,12-17,35446.000000,12.786705,1278.670523
38,18-44,114549.000000,6.355600,635.559965
38,45-64,44961.000000,2.664045,266.404471
38,65+,5413.000000,0.584097,58.409740
39,0-5,47558.000000,26.542203,2654.220254
39,6-11,113404.000000,41.883989,4188.398914
39,12-17,47960.000000,17.300976,1730.097565
39,18-44,135005.000000,7.490574,749.057374
39,45-64,21926.000000,1.299167,129.916693
39,65+,9651.000000,1.041405,104.140477
40,0-5,44700.000000,24.947148,2494.714777
40,6-11,130846.000000,48.325918,4832.591833
40,12-17,52154.000000,18.813909,1881.390918
40,18-44,124414.000000,6.902946,690.294612
40,45-64,42415.000000,2.513188,251.318824
40,65+,7288.000000,0.786422,78.642192
41,0-5,32352.000000,18.055707,1805.570748
41,6-11,106298.000000,39.259499,3925.949946
41,12-17,42436.000000,15.308261,1530.826111
41,18-44,103501.000000,5.742616,574.261600
41,45-64,54771.000000,3.245310,324.531022
41,65+,6882.000000,0.742612,74.261192
42,0-5,35293.000000,19.697085,1969.708470
42,6-11,85922.000000,31.733943,3173.394338
42,12-17,35361.000000,12.756043,1275.604254
42,18-44,152466.000000,8.459374,845.937421
42,45-64,63570.000000,3.766672,376.667161
42,65+,5722.000000,0.617440,61.744048
43,0-5,41018.000000,22.892217,2289.221716
43,6-11,102078.000000,37.700909,3770.090864
43,12-17,54760.000000,19.753991,1975.399138
43,18-44,139415.000000,7.735257,773.525675
43,45-64,52730.000000,3.124376,312.437618
43,65+,10379.000000,1.119961,111.996064
44,0-5,45105.000000,25.173179,2517.317897
44,6-11,68179.000000,25.180845,2518.084455
44,12-17,83702.000000,30.194459,3019.445921
44,18-44,117401.000000,6.513839,651.383910
44,45-64,70530.000000,4.179068,417.906794
44,65+,10543.000000,1.137657,113.765729
45,0-5,37330.000000,20.833938,2083.393794
45,6-11,77280.000000,28.542156,2854.215619
45,12-17,73171.000000,26.395531,2639.553147
45,18-44,165971.000000,9.208681,920.868126
45,45-64,53168.000000,3.150329,315.032871
45,65+,10790.000000,1.164310,116.431017
46,0-5,31855.000000,17.778331,1777.833092
46,6-11,37835.000000,13.973764,1397.376397
46,12-17,105380.000000,38.014529,3801.452907
46,18-44,183425.000000,10.177093,1017.709335
46,45-64,43618.000000,2.584469,258.446881
46,65+,13753.000000,1.484037,148.403687
47,0-5,32304.000000,18.028919,1802.891860
47,6-11,43935.000000,16.226703,1622.670331
47,12-17,63897.000000,23.050051,2305.005090
47,18-44,177422.000000,9.844025,984.402484
47,45-64,102860.000000,6.094696,609.469627
47,65+,10590.000000,1.142729,114.272889
48,0-5,34673.000000,19.351062,1935.106162
48,6-11,51193.000000,18.907332,1890.733180
48,12-17,83626.000000,30.167043,3016.704316
48,18-44,146378.000000,8.121590,812.158959
48,45-64,69225.000000,4.101744,410.174362
48,65+,10153.000000,1.095574,109.557379
49,0-5,38746.000000,21.624210,2162.421001
49,6-11,34395.000000,12.703254,1270.325391
49,12-17,65484.000000,23.622541,2362.254148
49,18-44,162347.000000,9.007608,900.760842
49,45-64,74075.000000,4.389118,438.911750
49,65+,9179.000000,0.990473,99.047294
50,0-5,29411.000000,16.414330,1641.433027
50,6-11,32012.000000,11.823130,1182.313023
50,12-17,46930.000000,16.929416,1692.941592
50,18-44,175180.000000,9.719630,971.963044
50,45-64,62680.000000,3.713937,371.393702
50,65+,13324.000000,1.437745,143.774501
51,0-5,41904.000000,23.386695,2338.669530
51,6-11,28062.000000,10.364260,1036.425967
51,12-17,55664.000000,20.080098,2008.009818
51,18-44,199634.000000,11.076428,1107.642826
51,45-64,79189.000000,4.692134,469.213400
51,65+,7792.000000,0.840807,84.080675
52,0-5,33672.000000,18.792402,1879.240178
52,6-11,26583.000000,9.818014,981.801421
52,12-17,48757.000000,17.588484,1758.848352
52,18-44,130272.000000,7.227969,722.796950
52,45-64,87007.000000,5.155369,515.536883
52,65+,10034.000000,1.082733,108.273292
53,0-5,33378.000000,18.628320,1862.831987
53,6-11,25618.000000,9.461607,946.160659
53,12-17,43214.000000,15.588915,1558.891497
53,18-44,145860.000000,8.092849,809.284905
53,45-64,97722.000000,5.790258,579.025772
53,65+,9775.000000,1.054785,105.478516
54,0-5,26827.000000,14.972195,1497.219537
54,6-11,21244.000000,7.846138,784.613828
54,12-17,42173.000000,15.213387,1521.338712
54,18-44,138282.000000,7.672394,767.239375
54,45-64,84933.000000,5.032479,503.247947
54,65+,9664.000000,1.042808,104.280755
55,0-5,16773.000000,9.361040,936.104048
55,6-11,22384.000000,8.267179,826.717940
55,12-17,39136.000000,14.117827,1411.782700
55,18-44,130173.000000,7.222477,722.247661
55,45-64,37629.000000,2.229607,222.960651
55,65+,9543.000000,1.029751,102.975088
56,0-5,28055.000000,15.657544,1565.754431
56,6-11,17433.000000,6.438605,643.860519
56,12-17,37650.000000,13.581771,1358.177092
56,18-44,127163.000000,7.055471,705.547075
56,45-64,52020.000000,3.082307,308.230702
56,65+,8798.000000,0.949361,94.936060
57,0-5,22816.000000,12.733649,1273.364929
57,6-11,11765.000000,4.345218,434.521827
57,12-17,54915.000000,19.809906,1980.990571
57,18-44,130618.000000,7.247167,724.716685
57,45-64,66170.000000,3.920728,392.072771
57,65+,12790.000000,1.380123,138.012299
58,0-5,12977.000000,7.242486,724.248628
58,6-11,17727.000000,6.547189,654.718948
58,12-17,28475.000000,10.272003,1027.200337
58,18-44,135083.000000,7.494901,749.490147
58,45-64,77466.000000,4.590042,459.004220
58,65+,14413.000000,1.555255,155.525510
59,0-5,20869.000000,11.647025,1164.702521
59,6-11,16571.000000,6.120239,612.023900
59,12-17,39259.000000,14.162198,1416.219773
59,18-44,131076.000000,7.272578,727.257837
59,45-64,69133.000000,4.096292,409.629241
59,65+,10857.000000,1.171540,117.153990
60,0-5,12903.000000,7.201187,720.118675
60,6-11,10361.000000,3.826673,382.667288
60,12-17,25322.000000,9.134598,913.459769
60,18-44,70649.000000,3.919866,391.986626
60,45-64,61738.000000,3.658121,365.812131
60,65+,12613.000000,1.361024,136.102356
61,0-5,18732.000000,10.454362,1045.436179
61,6-11,7484.000000,2.764098,276.409804
61,12-17,21754.000000,7.847486,784.748591
61,18-44,134597.000000,7.467936,746.793640
61,45-64,29482.000000,1.746878,174.687765
61,65+,4768.000000,0.514498,51.449777
62,0-5,12634.000000,7.051057,705.105738
62,6-11,9127.000000,3.370914,337.091433
62,12-17,22413.000000,8.085212,808.521199
62,18-44,154888.000000,8.593756,859.375568
62,45-64,58534.000000,3.468277,346.827680
62,65+,6524.000000,0.703981,70.398142
63,0-5,10678.000000,5.959410,595.941038
63,6-11,7095.000000,2.620427,262.042699
63,12-17,14587.000000,5.262079,526.207948
63,18-44,67393.000000,3.739211,373.921141
63,45-64,49398.000000,2.926947,292.694737
63,65+,9840.000000,1.061799,106.179908
64,0-5,13661.000000,7.624228,762.422787
64,6-11,10997.000000,4.061570,406.156951
64,12-17,16797.000000,6.059310,605.930959
64,18-44,106041.000000,5.883545,588.354453
64,45-64,38230.000000,2.265217,226.521717
64,65+,6193.000000,0.668264,66.826440
65,0-5,10599.000000,5.915320,591.532034
65,6-11,6826.000000,2.521076,252.107606
65,12-17,21310.000000,7.687318,768.731841
65,18-44,64149.000000,3.559222,355.922236
65,45-64,37928.000000,2.247323,224.732296
65,65+,7303.000000,0.788041,78.804052
66,0-5,10609.000000,5.920901,592.090136
66,6-11,5108.000000,1.886560,188.655970
66,12-17,17929.000000,6.467665,646.766456
66,18-44,72778.000000,4.037991,403.799100
66,45-64,40050.000000,2.373056,237.305644
66,65+,5875.000000,0.633950,63.395016
67,0-5,11777.000000,6.572764,657.276419
67,6-11,4282.000000,1.581490,158.148955
67,12-17,23463.000000,8.463986,846.398648
67,18-44,67945.000000,3.769838,376.983840
67,45-64,27500.000000,1.629440,162.943950
67,65+,7158.000000,0.772394,77.239409
68,0-5,5598.000000,3.124254,312.425354
68,6-11,2981.000000,1.100986,110.098561
68,12-17,11170.000000,4.029439,402.943907
68,18-44,53389.000000,2.962218,296.221800
68,45-64,48956.000000,2.900758,290.075783
68,65+,6818.000000,0.735706,73.570591
69,0-5,7843.000000,4.377192,437.719194
69,6-11,5120.000000,1.890992,189.099171
69,12-17,12618.000000,4.551787,455.178713
69,18-44,52473.000000,2.911395,291.139495
69,45-64,44990.000000,2.665763,266.576303
69,65+,5170.000000,0.557876,55.787614
70,0-5,7192.000000,4.013868,401.386771
70,6-11,4705.000000,1.737718,173.771797
70,12-17,14551.000000,5.249093,524.909293
70,18-44,50168.000000,2.783505,278.350508
70,45-64,44575.000000,2.641173,264.117331
70,65+,4357.000000,0.470148,47.014823
71,0-5,8227.000000,4.591503,459.150301
71,6-11,2829.000000,1.044847,104.484679
71,12-17,10690.000000,3.856285,385.628502
71,18-44,57967.000000,3.216222,321.622227
71,45-64,37772.000000,2.238080,223.807960
71,65+,6791.000000,0.732792,73.279243
72,0-5,5064.000000,2.826227,282.622721
72,6-11,2076.000000,0.766738,76.673805
72,12-17,8431.000000,3.041379,304.137877
72,18-44,47275.000000,2.622991,262.299080
72,45-64,25001.000000,1.481368,148.136789
72,65+,4612.000000,0.497664,49.766437
73,0-5,3752.000000,2.093998,209.399773
73,6-11,2240.000000,0.827309,82.730888
73,12-17,9426.000000,3.400313,340.031269
73,18-44,48129.000000,2.670374,267.037386
73,45-64,27008.000000,1.600287,160.028735
73,65+,6108.000000,0.659092,65.909236
74,0-5,6039.000000,3.370376,337.037641
74,6-11,2440.000000,0.901176,90.117574
74,12-17,8784.000000,3.168719,316.871914
74,18-44,36058.000000,2.000630,200.063041
74,45-64,23666.000000,1.402266,140.226601
74,65+,5627.000000,0.607189,60.718937
75,0-5,4531.000000,2.528759,252.875898
75,6-11,1880.000000,0.694349,69.434852
75,12-17,8990.000000,3.243031,324.303109
75,18-44,51617.000000,2.863901,286.390093
75,45-64,16975.000000,1.005809,100.580857
75,65+,4973.000000,0.536619,53.661858
76,0-5,2842.000000,1.586125,158.612514
76,6-11,1539.000000,0.568406,56.840552
76,12-17,7595.000000,2.739802,273.980213
76,18-44,28066.000000,1.557205,155.720486
76,45-64,28170.000000,1.669139,166.913858
76,65+,5613.000000,0.605679,60.567868
77,0-5,3891.000000,2.171574,217.157387
77,6-11,1259.000000,0.464992,46.499191
77,12-17,6000.000000,2.164426,216.442564
77,18-44,46680.000000,2.589978,258.997802
77,45-64,24337.000000,1.442024,144.202434
77,65+,5138.000000,0.554423,55.442314
78,0-5,3243.000000,1.809924,180.992394
78,6-11,1658.000000,0.612356,61.235630
78,12-17,5750.000000,2.074241,207.424124
78,18-44,30090.000000,1.669504,166.950382
78,45-64,23107.000000,1.369144,136.914395
78,65+,3320.000000,0.358249,35.824928
79,0-5,4160.000000,2.321703,232.170324
79,6-11,1526.000000,0.563604,56.360417
79,12-17,6082.000000,2.194006,219.400613
79,18-44,34523.000000,1.915463,191.546296
79,45-64,28949.000000,1.715296,171.529615
79,65+,4424.000000,0.477378,47.737796
80,0-5,1473.000000,0.822084,82.208386
80,6-11,2094.000000,0.773386,77.338606
80,12-17,7132.000000,2.572781,257.278062
80,18-44,28382.000000,1.574738,157.473771
80,45-64,16235.000000,0.961962,96.196183
80,65+,2885.000000,0.311310,31.130999
81,0-5,2222.000000,1.240102,124.010207
81,6-11,1061.000000,0.391864,39.186371
81,12-17,4377.000000,1.578949,157.894851
81,18-44,19599.000000,1.087425,108.742457
81,45-64,15299.000000,0.906502,90.650164
81,65+,2984.000000,0.321993,32.199273
82,0-5,2589.000000,1.444925,144.492540
82,6-11,561.000000,0.207197,20.719655
82,12-17,2716.000000,0.979763,97.976334
82,18-44,25671.000000,1.424321,142.432146
82,45-64,15385.000000,0.911597,91.159734
82,65+,2648.000000,0.285736,28.573618
83,0-5,1921.000000,1.072113,107.211344
83,6-11,870.000000,0.321321,32.132086
83,12-17,3654.000000,1.318135,131.813522
83,18-44,23488.000000,1.303201,130.320059
83,45-64,7933.000000,0.470049,47.004886
83,65+,3021.000000,0.325985,32.598527
84,0-5,2173.000000,1.212755,121.275508
84,6-11,1004.000000,0.370812,37.081166
84,12-17,4170.000000,1.504276,150.427582
84,18-44,22894.000000,1.270243,127.024329
84,45-64,11100.000000,0.657701,65.770104
84,65+,1435.000000,0.154846,15.484570
85,0-5,1268.000000,0.707673,70.767301
85,6-11,788.000000,0.291035,29.103544
85,12-17,3002.000000,1.082934,108.293430
85,18-44,19101.000000,1.059794,105.979370
85,45-64,13051.000000,0.773302,77.330236
85,65+,2000.000000,0.215813,21.581282
86,0-5,1791.000000,0.999560,99.956022
86,6-11,573.000000,0.211629,21.162856
86,12-17,3554.000000,1.282061,128.206146
86,18-44,17440.000000,0.967635,96.763532
86,45-64,10371.000000,0.614506,61.450608
86,65+,2734.000000,0.295016,29.501613
87,0-5,1366.000000,0.762367,76.236698
87,6-11,662.000000,0.244499,24.449932
87,12-17,2731.000000,0.985174,98.517441
87,18-44,12923.000000,0.717016,71.701555
87,45-64,11323.000000,0.670914,67.091431
87,65+,2245.000000,0.242250,24.224989
88,0-5,1113.000000,0.621167,62.116724
88,6-11,585.000000,0.216061,21.606058
88,12-17,3054.000000,1.101693,110.169265
88,18-44,15392.000000,0.854005,85.400475
88,45-64,7873.000000,0.466494,46.649372
88,65+,1618.000000,0.174593,17.459257
89,0-5,1389.000000,0.775203,77.520332
89,6-11,639.000000,0.236005,23.600463
89,12-17,1804.000000,0.650771,65.077064
89,18-44,14884.000000,0.825819,82.581904
89,45-64,6143.000000,0.363987,36.398716
89,65+,2083.000000,0.224769,22.476905
90,0-5,1078.000000,0.601634,60.163368
90,6-11,494.000000,0.182451,18.245115
90,12-17,1951.000000,0.703799,70.379907
90,18-44,13249.000000,0.735103,73.510323
90,45-64,7921.000000,0.469338,46.933783
90,65+,1721.000000,0.185707,18.570693
91,0-5,787.000000,0.439226,43.922607
91,6-11,679.000000,0.250778,25.077800
91,12-17,2655.000000,0.957758,95.775835
91,18-44,8718.000000,0.483707,48.370669
91,45-64,7670.000000,0.454465,45.446549
91,65+,2049.000000,0.221100,22.110024
92,0-5,908.000000,0.506756,50.675638
92,6-11,461.000000,0.170263,17.026312
92,12-17,1481.000000,0.534252,53.425240
92,18-44,10016.000000,0.555725,55.572450
92,45-64,5011.000000,0.296914,29.691350
92,65+,1081.000000,0.116647,11.664683
93,0-5,1213.000000,0.676977,67.697741
93,6-11,610.000000,0.225294,22.529393
93,12-17,2014.000000,0.726526,72.652554
93,18-44,11443.000000,0.634900,63.489971
93,45-64,9335.000000,0.553121,55.312065
93,65+,1601.000000,0.172758,17.275816
94,0-5,450.000000,0.251146,25.114578
94,6-11,203.000000,0.074975,7.497487
94,12-17,1525.000000,0.550125,55.012485
94,18-44,11008.000000,0.610764,61.076431
94,45-64,8087.000000,0.479174,47.917372
94,65+,2080.000000,0.224445,22.444533
95,0-5,1246.000000,0.695395,69.539477
95,6-11,222.000000,0.081992,8.199222
95,12-17,1691.000000,0.610007,61.000729
95,18-44,8882.000000,0.492806,49.280601
95,45-64,4812.000000,0.285122,28.512229
95,65+,1833.000000,0.197792,19.779245
96,0-5,732.000000,0.408530,40.853047
96,6-11,357.000000,0.131852,13.185235
96,12-17,1118.000000,0.403305,40.330465
96,18-44,6487.000000,0.359923,35.992261
96,45-64,6592.000000,0.390591,39.059146
96,65+,1658.000000,0.178909,17.890883
97,0-5,579.000000,0.323141,32.314091
97,6-11,426.000000,0.157336,15.733642
97,12-17,1182.000000,0.426392,42.639185
97,18-44,12519.000000,0.694600,69.460015
97,45-64,5653.000000,0.334954,33.495351
97,65+,1112.000000,0.119992,11.999193
98,0-5,524.000000,0.292445,29.244531
98,6-11,385.000000,0.142194,14.219371
98,12-17,902.000000,0.325385,32.538532
98,18-44,9024.000000,0.500685,50.068470
98,45-64,3533.000000,0.209339,20.933854
98,65+,655.000000,0.070679,7.067870
99,0-5,475.000000,0.265098,26.509833
99,6-11,286.000000,0.105630,10.562962
99,12-17,834.000000,0.300855,30.085516
99,18-44,9002.000000,0.499464,49.946406
99,45-64,2500.000000,0.148131,14.813086
99,65+,939.000000,0.101324,10.132412
100,0-5,441.000000,0.246123,24.612287
100,6-11,280.000000,0.103414,10.341361
100,12-17,965.000000,0.348112,34.811179
100,18-44,6988.000000,0.387720,38.771993
100,45-64,3988.000000,0.236298,23.629835
100,65+,1131.000000,0.122042,12.204215
101,0-5,475.000000,0.265098,26.509833
101,6-11,284.000000,0.104891,10.489095
101,12-17,792.000000,0.285704,28.570419
101,18-44,6344.000000,0.351988,35.198844
101,45-64,6427.000000,0.380815,38.081483
101,65+,761.000000,0.082117,8.211678
102,0-5,437.000000,0.243890,24.389046
102,6-11,218.000000,0.080515,8.051488
102,12-17,780.000000,0.281375,28.137533
102,18-44,7238.000000,0.401591,40.159085
102,45-64,3943.000000,0.233632,23.363200
102,65+,1014.000000,0.109417,10.941710
103,0-5,494.000000,0.275702,27.570226
103,6-11,182.000000,0.067219,6.721885
103,12-17,669.000000,0.241333,24.133346
103,18-44,6897.000000,0.382671,38.267092
103,45-64,4012.000000,0.237720,23.772041
103,65+,831.000000,0.089670,8.967023
104,0-5,500.000000,0.279051,27.905087
104,6-11,260.000000,0.096027,9.602692
104,12-17,865.000000,0.312038,31.203803
104,18-44,7840.000000,0.434992,43.499202
104,45-64,3319.000000,0.196659,19.665854
104,65+,686.000000,0.074024,7.402380
105,0-5,397.000000,0.221566,22.156639
105,6-11,209.000000,0.077191,7.719087
105,12-17,845.000000,0.304823,30.482328
105,18-44,3959.000000,0.219660,21.965988
105,45-64,3528.000000,0.209042,20.904228
105,65+,1077.000000,0.116215,11.621520
106,0-5,368.000000,0.205381,20.538144
106,6-11,207.000000,0.076452,7.645220
106,12-17,511.000000,0.184337,18.433692
106,18-44,3579.000000,0.198576,19.857608
106,45-64,2993.000000,0.177342,17.734227
106,65+,870.000000,0.093879,9.387858
107,0-5,356.000000,0.198684,19.868422
107,6-11,115.000000,0.042473,4.247345
107,12-17,380.000000,0.137080,13.708029
107,18-44,3985.000000,0.221102,22.110245
107,45-64,2028.000000,0.120164,12.016376
107,65+,587.000000,0.063341,6.334106
