Np,L,sigma_rw,resample,mape_Rj,rmse_Rj,bias_Rj,cov_Rj,width_Rj,mape_dR,cov_dR,ess_min,ess_med,uniq_min,runtime_s,mape_Rj_0_5,mape_Rj_6_11,mape_Rj_12_17,mape_Rj_18_44,mape_Rj_45_64,mape_Rj_65
10000,16,0.1,every,2.0279622194862132,0.06259818876001001,0.004221292114788057,96.64351851851852,0.22620697910764906,1.2005222070841486,99.18981481481482,193.51496679195336,9427.856426346185,1,5.830395936965942,1.8676073145699221,2.6900572034692187,1.9479797840909172,2.00376176005123,1.8764769345526968,1.7818903201832956
10000,16,0.15,every,1.3812953782195718,0.02034497154490152,0.010575215854375783,100.0,0.3017581093935778,0.6156947486594312,99.88425925925925,306.29208013716396,9154.639129673818,7,4.290488958358765,1.4513669059837313,1.7908313427718414,1.3565276928187164,1.3781234705882062,1.1993070574010405,1.1116157997538958
10000,16,0.2,every,1.4830639800239165,0.018312662251078273,0.014001717121621729,100.0,0.3713334700304629,0.5317394945498747,100.0,829.6777890942784,8911.627851458983,27,4.285353899002075,1.6092680469838867,1.7751840641891063,1.4605964584007374,1.4740027987873427,1.3426731293704752,1.2366593824119514
10000,16,0.25,every,1.688784946610201,0.020465800136194607,0.01596852887885811,100.0,0.43800166111648503,0.654262015642701,100.0,1723.7995358660173,8686.019872561867,73,4.352218151092529,1.8898527684747444,2.03140646145011,1.5531625488680212,1.7703135231882328,1.5109328384499767,1.3770415392301198
10000,16,0.3,every,1.9479702005401853,0.023037175374306034,0.018778851996793754,100.0,0.4997872409528128,0.644983295565786,100.0,2674.5141136850093,8471.232754788045,168,4.275234937667847,2.1635831009100275,2.2838713814192206,1.8622832579766893,1.9949842843951313,1.7644794288042485,1.618619749735794
10000,24,0.1,every,2.0516435437502145,0.06113108602112568,0.003960455046429132,96.64351851851852,0.2249775137956094,1.2686118636012973,99.18981481481482,193.51496679195336,9427.856426346185,1,4.937150955200195,1.9287822234120628,2.6840721073301737,1.961297081586436,2.043560176404838,1.8909523188643282,1.8011973549034463
10000,24,0.15,every,1.3973800133886798,0.020497937128968077,0.01062101119932961,100.0,0.30047323715745694,0.6977503538811335,99.88425925925925,306.29208013716396,9154.639129673818,6,4.994936943054199,1.4737068914829334,1.8087517481259283,1.3815632198577015,1.3911855312532786,1.2105242117019126,1.1185484779103252
10000,24,0.2,every,1.4457113130766623,0.01813906357886218,0.013324380793354225,100.0,0.3720486076791502,0.6419630753047164,100.0,829.6777890942784,8911.627851458983,26,5.042985916137695,1.5469311173745321,1.7501941043382454,1.4685636143398728,1.421616274270661,1.2861436044958598,1.2008191636408028
10000,24,0.25,every,1.8042777823454292,0.021620890094421585,0.016496158476555178,100.0,0.4387110656350118,0.7492532388384673,100.0,1723.7995358660173,8686.019872561867,62,5.005708932876587,1.9961871305461607,2.142818154118243,1.6254610114812889,1.932459849212143,1.6428222912181984,1.4859182574965415
10000,24,0.3,every,1.9970114465349094,0.023600473045825358,0.019045351235214888,100.0,0.49849094248073306,0.7488304553367021,100.0,2674.5141136850093,8471.232754788045,130,4.981271982192993,2.211806353003446,2.3791392499427175,1.9177194586093929,2.049024457556543,1.8020691889146974,1.6223099711826616
10000,32,0.1,every,2.0736409540730514,0.060821908534410996,0.004024611901635652,96.64351851851852,0.22453103338970015,1.3181512640344846,99.18981481481482,193.51496679195336,9427.856426346185,1,5.70648717880249,1.9361300408447732,2.6902534630706865,1.9698515936021188,2.0621127643923747,1.927383415946675,1.8561144465816803
10000,32,0.15,every,1.378378620684851,0.020284020240743123,0.010285706941677986,100.0,0.3008103217146998,0.7604105942744691,99.88425925925925,306.29208013716396,9154.639129673818,6,5.646905899047852,1.424088528814413,1.795903008158841,1.3899429176748084,1.3656461438704866,1.189367957444846,1.105323168145711
10000,32,0.2,every,1.4724436632630375,0.018919727292757094,0.013375006134462677,100.0,0.37237128558380655,0.7318595917550433,100.0,829.6777890942784,8911.627851458983,22,5.692282199859619,1.621563638808593,1.8102216356965684,1.4809138405329432,1.4423407300928293,1.2882270977989754,1.1913950366483155
10000,32,0.25,every,1.8520424889581835,0.022617132726594737,0.016704360534208647,100.0,0.438471569401269,0.824793229100238,100.0,1723.7995358660173,8686.019872561867,56,5.656301021575928,2.0459014590199995,2.2233848869341535,1.6201002070090533,1.996432840824273,1.6853389040383346,1.5410966359232867
10000,32,0.3,every,2.0567448141727547,0.024533480112299527,0.018908978684696837,100.0,0.4984148625451535,0.8191217084239789,100.0,2674.5141136850093,8471.232754788045,117,5.6347949504852295,2.2761183395841553,2.4361713552745683,1.9845575662151054,2.139111261884574,1.8504847528356474,1.6540256092424752
10000,wh,0.1,every,2.0995035691393675,0.06158969604417693,0.0048259017202170115,96.52777777777779,0.22232117332328252,1.4329970061746131,98.95833333333333,193.51496679195336,9427.856426346185,1,10.031212091445923,1.9749480121190477,2.7288168560489288,1.9629406925710462,2.0480543509181754,1.9847121376901657,1.897549365488842
10000,wh,0.15,every,1.4285920641769512,0.021002802662704153,0.00943097844304378,100.0,0.2998631584103029,1.0836216952639732,100.0,306.29208013716396,9154.639129673818,6,9.974912166595459,1.547794985609177,1.6989109708216714,1.3589243892600196,1.4396199682324464,1.2869433836751258,1.2393586874632658
10000,wh,0.2,every,1.630050037989963,0.02172400228618904,0.014042822342565202,100.0,0.37055475945236643,1.034502023624962,100.0,829.6777890942784,8911.627851458983,17,9.99199914932251,1.7112806581002518,1.8554007938008474,1.7528959569231939,1.5688525145937957,1.4937489236713295,1.3981213808503583
