Np,L,day,age_group,uniq
100000,24,19,45-64,4242
100000,24,19,65+,4314
100000,24,20,0-5,3863
100000,24,20,6-11,3619
100000,24,20,12-17,3747
100000,24,20,18-44,4042
100000,24,20,45-64,4232
100000,24,20,65+,4304
100000,24,21,0-5,3870
100000,24,21,6-11,3642
100000,24,21,12-17,3730
100000,24,21,18-44,4039
100000,24,21,45-64,4225
100000,24,21,65+,4307
100000,24,22,0-5,3891
100000,24,22,6-11,3718
100000,24,22,12-17,3736
100000,24,22,18-44,4020
100000,24,22,45-64,4230
100000,24,22,65+,4272
100000,24,23,0-5,3891
100000,24,23,6-11,3780
100000,24,23,12-17,3739
100000,24,23,18-44,3997
100000,24,23,45-64,4210
100000,24,23,65+,4255
100000,24,24,0-5,3893
100000,24,24,6-11,3787
100000,24,24,12-17,3751
100000,24,24,18-44,3979
100000,24,24,45-64,4216
100000,24,24,65+,4252
100000,24,25,0-5,3910
100000,24,25,6-11,3789
100000,24,25,12-17,3740
100000,24,25,18-44,3993
100000,24,25,45-64,4261
100000,24,25,65+,4226
100000,24,26,0-5,3898
100000,24,26,6-11,3808
100000,24,26,12-17,3730
100000,24,26,18-44,3988
100000,24,26,45-64,4244
100000,24,26,65+,4229
100000,24,27,0-5,3905
100000,24,27,6-11,3841
100000,24,27,12-17,3711
100000,24,27,18-44,3985
100000,24,27,45-64,4244
100000,24,27,65+,4233
100000,24,28,0-5,3914
100000,24,28,6-11,3891
100000,24,28,12-17,3694
100000,24,28,18-44,3995
100000,24,28,45-64,4193
100000,24,28,65+,4249
100000,24,29,0-5,3941
100000,24,29,6-11,3920
100000,24,29,12-17,3676
100000,24,29,18-44,4006
100000,24,29,45-64,4175
100000,24,29,65+,4249
100000,24,30,0-5,3998
100000,24,30,6-11,3931
100000,24,30,12-17,3701
100000,24,30,18-44,4006
100000,24,30,45-64,4161
100000,24,30,65+,4233
100000,24,31,0-5,4006
100000,24,31,6-11,3978
100000,24,31,12-17,3731
100000,24,31,18-44,3988
100000,24,31,45-64,4154
100000,24,31,65+,4214
100000,24,32,0-5,3987
100000,24,32,6-11,4005
100000,24,32,12-17,3739
100000,24,32,18-44,3984
100000,24,32,45-64,4126
100000,24,32,65+,4207
100000,24,33,0-5,3977
100000,24,33,6-11,3999
100000,24,33,12-17,3744
100000,24,33,18-44,3980
100000,24,33,45-64,4113
100000,24,33,65+,4190
100000,24,34,0-5,3973
100000,24,34,6-11,4025
100000,24,34,12-17,3747
100000,24,34,18-44,3973
100000,24,34,45-64,4082
100000,24,34,65+,4190
100000,24,35,0-5,3955
100000,24,35,6-11,4040
100000,24,35,12-17,3715
100000,24,35,18-44,3960
100000,24,35,45-64,4074
100000,24,35,65+,4150
100000,24,36,0-5,3912
100000,24,36,6-11,4057
100000,24,36,12-17,3721
100000,24,36,18-44,3929
100000,24,36,45-64,4089
100000,24,36,65+,4127
100000,24,37,0-5,3910
100000,24,37,6-11,4066
100000,24,37,12-17,3727
100000,24,37,18-44,3914
100000,24,37,45-64,4098
100000,24,37,65+,4136
100000,24,38,0-5,3907
100000,24,38,6-11,4073
100000,24,38,12-17,3725
100000,24,38,18-44,3869
100000,24,38,45-64,4060
100000,24,38,65+,4112
100000,24,39,0-5,3904
100000,24,39,6-11,4060
100000,24,39,12-17,3702
100000,24,39,18-44,3854
100000,24,39,45-64,4039
100000,24,39,65+,4123
100000,24,40,0-5,3909
100000,24,40,6-11,4048
100000,24,40,12-17,3683
100000,24,40,18-44,3843
100000,24,40,45-64,4022
100000,24,40,65+,4115
100000,24,41,0-5,3876
100000,24,41,6-11,4028
100000,24,41,12-17,3659
100000,24,41,18-44,3840
100000,24,41,45-64,4001
100000,24,41,65+,4112
100000,24,42,0-5,3872
100000,24,42,6-11,4018
100000,24,42,12-17,3676
100000,24,42,18-44,3801
100000,24,42,45-64,4017
100000,24,42,65+,4099
100000,24,43,0-5,3867
100000,24,43,6-11,4012
100000,24,43,12-17,3651
100000,24,43,18-44,3778
100000,24,43,45-64,3995
100000,24,43,65+,4091
100000,24,44,0-5,3885
100000,24,44,6-11,3988
100000,24,44,12-17,3654
100000,24,44,18-44,3779
100000,24,44,45-64,3959
100000,24,44,65+,4073
100000,24,45,0-5,3879
100000,24,45,6-11,3959
100000,24,45,12-17,3633
100000,24,45,18-44,3740
100000,24,45,45-64,3967
100000,24,45,65+,4049
100000,24,46,0-5,3898
100000,24,46,6-11,3933
100000,24,46,12-17,3653
100000,24,46,18-44,3743
100000,24,46,45-64,3931
100000,24,46,65+,4055
100000,24,47,0-5,3894
100000,24,47,6-11,3927
100000,24,47,12-17,3658
100000,24,47,18-44,3722
100000,24,47,45-64,3935
100000,24,47,65+,4052
100000,24,48,0-5,3917
100000,24,48,6-11,3923
100000,24,48,12-17,3648
100000,24,48,18-44,3723
100000,24,48,45-64,3933
100000,24,48,65+,4063
100000,24,49,0-5,3925
100000,24,49,6-11,3944
100000,24,49,12-17,3655
100000,24,49,18-44,3717
100000,24,49,45-64,3929
100000,24,49,65+,3988
100000,24,50,0-5,3915
100000,24,50,6-11,3947
100000,24,50,12-17,3629
100000,24,50,18-44,3709
100000,24,50,45-64,3920
100000,24,50,65+,4011
100000,24,51,0-5,3890
100000,24,51,6-11,3961
100000,24,51,12-17,3642
100000,24,51,18-44,3734
100000,24,51,45-64,3876
100000,24,51,65+,4016
100000,24,52,0-5,3868
100000,24,52,6-11,3955
100000,24,52,12-17,3631
100000,24,52,18-44,3742
100000,24,52,45-64,3874
100000,24,52,65+,4038
100000,24,53,0-5,3906
100000,24,53,6-11,3970
100000,24,53,12-17,3666
100000,24,53,18-44,3735
100000,24,53,45-64,3888
100000,24,53,65+,4024
100000,24,54,0-5,3901
100000,24,54,6-11,3952
100000,24,54,12-17,3648
100000,24,54,18-44,3720
100000,24,54,45-64,3900
100000,24,54,65+,4056
100000,24,55,0-5,3904
100000,24,55,6-11,3945
100000,24,55,12-17,3644
100000,24,55,18-44,3694
100000,24,55,45-64,3900
100000,24,55,65+,4064
100000,24,56,0-5,3894
100000,24,56,6-11,3937
100000,24,56,12-17,3668
100000,24,56,18-44,3699
100000,24,56,45-64,3905
100000,24,56,65+,4047
100000,24,57,0-5,3899
100000,24,57,6-11,3930
100000,24,57,12-17,3657
100000,24,57,18-44,3730
100000,24,57,45-64,3923
100000,24,57,65+,4042
100000,24,58,0-5,3898
100000,24,58,6-11,3924
100000,24,58,12-17,3668
100000,24,58,18-44,3714
100000,24,58,45-64,3940
100000,24,58,65+,4035
100000,24,59,0-5,3909
100000,24,59,6-11,3928
100000,24,59,12-17,3680
100000,24,59,18-44,3699
100000,24,59,45-64,3912
100000,24,59,65+,4038
100000,24,60,0-5,3900
100000,24,60,6-11,3949
100000,24,60,12-17,3648
100000,24,60,18-44,3716
100000,24,60,45-64,3911
100000,24,60,65+,4016
100000,24,61,0-5,3866
100000,24,61,6-11,3929
100000,24,61,12-17,3657
100000,24,61,18-44,3727
100000,24,61,45-64,3895
100000,24,61,65+,4022
100000,24,62,0-5,3830
100000,24,62,6-11,3955
100000,24,62,12-17,3667
100000,24,62,18-44,3701
100000,24,62,45-64,3902
100000,24,62,65+,3999
100000,24,63,0-5,3862
100000,24,63,6-11,3985
100000,24,63,12-17,3653
100000,24,63,18-44,3693
100000,24,63,45-64,3897
100000,24,63,65+,3978
100000,24,64,0-5,3878
100000,24,64,6-11,3979
100000,24,64,12-17,3659
100000,24,64,18-44,3694
100000,24,64,45-64,3891
100000,24,64,65+,4014
100000,24,65,0-5,3903
100000,24,65,6-11,3991
100000,24,65,12-17,3673
100000,24,65,18-44,3674
100000,24,65,45-64,3890
100000,24,65,65+,4035
100000,24,66,0-5,3896
100000,24,66,6-11,3972
100000,24,66,12-17,3651
100000,24,66,18-44,3694
100000,24,66,45-64,3887
100000,24,66,65+,4051
100000,24,67,0-5,3893
100000,24,67,6-11,3978
100000,24,67,12-17,3640
100000,24,67,18-44,3674
100000,24,67,45-64,3912
100000,24,67,65+,4036
100000,24,68,0-5,3889
100000,24,68,6-11,3978
100000,24,68,12-17,3649
100000,24,68,18-44,3691
100000,24,68,45-64,3878
100000,24,68,65+,4013
100000,24,69,0-5,3899
100000,24,69,6-11,3955
100000,24,69,12-17,3645
100000,24,69,18-44,3706
100000,24,69,45-64,3870
100000,24,69,65+,4020
100000,24,70,0-5,3893
100000,24,70,6-11,3954
100000,24,70,12-17,3679
100000,24,70,18-44,3701
100000,24,70,45-64,3859
100000,24,70,65+,4030
100000,24,71,0-5,3886
100000,24,71,6-11,3981
100000,24,71,12-17,3695
100000,24,71,18-44,3689
100000,24,71,45-64,3842
100000,24,71,65+,4023
100000,24,72,0-5,3898
100000,24,72,6-11,4002
100000,24,72,12-17,3704
100000,24,72,18-44,3685
100000,24,72,45-64,3856
100000,24,72,65+,4027
100000,24,73,0-5,3904
100000,24,73,6-11,4008
100000,24,73,12-17,3704
100000,24,73,18-44,3655
100000,24,73,45-64,3843
100000,24,73,65+,4033
100000,24,74,0-5,3902
100000,24,74,6-11,4006
100000,24,74,12-17,3728
100000,24,74,18-44,3669
100000,24,74,45-64,3855
100000,24,74,65+,3994
100000,24,75,0-5,3881
100000,24,75,6-11,4008
100000,24,75,12-17,3738
100000,24,75,18-44,3695
100000,24,75,45-64,3833
100000,24,75,65+,4011
100000,24,76,0-5,3901
100000,24,76,6-11,4034
100000,24,76,12-17,3726
100000,24,76,18-44,3702
100000,24,76,45-64,3827
100000,24,76,65+,4008
100000,24,77,0-5,3904
100000,24,77,6-11,4014
100000,24,77,12-17,3706
100000,24,77,18-44,3683
100000,24,77,45-64,3829
100000,24,77,65+,4034
100000,24,78,0-5,3913
100000,24,78,6-11,3995
100000,24,78,12-17,3709
100000,24,78,18-44,3681
100000,24,78,45-64,3840
100000,24,78,65+,4069
100000,24,79,0-5,3938
100000,24,79,6-11,4021
100000,24,79,12-17,3686
100000,24,79,18-44,3699
100000,24,79,45-64,3831
100000,24,79,65+,4090
100000,24,80,0-5,3933
100000,24,80,6-11,4042
100000,24,80,12-17,3693
100000,24,80,18-44,3698
100000,24,80,45-64,3851
100000,24,80,65+,4085
100000,24,81,0-5,3960
100000,24,81,6-11,4011
100000,24,81,12-17,3684
100000,24,81,18-44,3692
100000,24,81,45-64,3850
100000,24,81,65+,4075
100000,24,82,0-5,3945
100000,24,82,6-11,4012
100000,24,82,12-17,3701
100000,24,82,18-44,3702
100000,24,82,45-64,3847
100000,24,82,65+,4054
100000,24,83,0-5,3943
100000,24,83,6-11,4035
100000,24,83,12-17,3710
100000,24,83,18-44,3719
100000,24,83,45-64,3838
100000,24,83,65+,4063
100000,24,84,0-5,3946
100000,24,84,6-11,4037
100000,24,84,12-17,3717
100000,24,84,18-44,3706
100000,24,84,45-64,3851
100000,24,84,65+,4062
100000,24,85,0-5,3960
100000,24,85,6-11,4056
100000,24,85,12-17,3731
100000,24,85,18-44,3716
100000,24,85,45-64,3847
100000,24,85,65+,4053
100000,24,86,0-5,3995
100000,24,86,6-11,4099
100000,24,86,12-17,3741
100000,24,86,18-44,3674
100000,24,86,45-64,3845
100000,24,86,65+,4075
100000,24,87,0-5,3997
100000,24,87,6-11,4116
100000,24,87,12-17,3747
100000,24,87,18-44,3664
100000,24,87,45-64,3830
100000,24,87,65+,4057
100000,24,88,0-5,4001
100000,24,88,6-11,4158
100000,24,88,12-17,3718
100000,24,88,18-44,3690
100000,24,88,45-64,3826
100000,24,88,65+,4038
100000,24,89,0-5,3980
100000,24,89,6-11,4161
100000,24,89,12-17,3735
100000,24,89,18-44,3686
100000,24,89,45-64,3838
100000,24,89,65+,4074
100000,24,90,0-5,3941
100000,24,90,6-11,4164
100000,24,90,12-17,3748
100000,24,90,18-44,3685
100000,24,90,45-64,3855
100000,24,90,65+,4102
100000,24,91,0-5,3947
100000,24,91,6-11,4188
100000,24,91,12-17,3731
100000,24,91,18-44,3672
100000,24,91,45-64,3850
100000,24,91,65+,4102
100000,24,92,0-5,3970
100000,24,92,6-11,4198
100000,24,92,12-17,3738
100000,24,92,18-44,3666
100000,24,92,45-64,3832
100000,24,92,65+,4123
100000,24,93,0-5,3985
100000,24,93,6-11,4219
100000,24,93,12-17,3750
100000,24,93,18-44,3670
100000,24,93,45-64,3829
100000,24,93,65+,4129
100000,24,94,0-5,4025
100000,24,94,6-11,4235
100000,24,94,12-17,3781
100000,24,94,18-44,3682
100000,24,94,45-64,3854
100000,24,94,65+,4125
100000,24,95,0-5,4021
100000,24,95,6-11,4240
100000,24,95,12-17,3776
100000,24,95,18-44,3669
100000,24,95,45-64,3871
100000,24,95,65+,4123
100000,24,96,0-5,4025
100000,24,96,6-11,4273
100000,24,96,12-17,3796
100000,24,96,18-44,3687
100000,24,96,45-64,3859
100000,24,96,65+,4131
100000,24,97,0-5,4015
100000,24,97,6-11,4272
100000,24,97,12-17,3801
100000,24,97,18-44,3662
100000,24,97,45-64,3836
100000,24,97,65+,4103
100000,24,98,0-5,4002
100000,24,98,6-11,4269
100000,24,98,12-17,3790
100000,24,98,18-44,3652
100000,24,98,45-64,3833
100000,24,98,65+,4087
100000,24,99,0-5,4025
100000,24,99,6-11,4274
100000,24,99,12-17,3811
100000,24,99,18-44,3636
100000,24,99,45-64,3838
100000,24,99,65+,4056
100000,24,100,0-5,4009
100000,24,100,6-11,4294
100000,24,100,12-17,3857
100000,24,100,18-44,3626
100000,24,100,45-64,3842
100000,24,100,65+,4035
100000,24,101,0-5,4028
100000,24,101,6-11,4293
100000,24,101,12-17,3836
100000,24,101,18-44,3640
100000,24,101,45-64,3851
100000,24,101,65+,4015
100000,24,102,0-5,4026
100000,24,102,6-11,4284
100000,24,102,12-17,3843
100000,24,102,18-44,3673
100000,24,102,45-64,3851
100000,24,102,65+,4011
100000,24,103,0-5,4033
100000,24,103,6-11,4298
100000,24,103,12-17,3852
100000,24,103,18-44,3677
100000,24,103,45-64,3819
100000,24,103,65+,4023
100000,24,104,0-5,4042
100000,24,104,6-11,4306
100000,24,104,12-17,3860
100000,24,104,18-44,3675
100000,24,104,45-64,3832
100000,24,104,65+,3994
100000,24,105,0-5,4050
100000,24,105,6-11,4298
100000,24,105,12-17,3853
100000,24,105,18-44,3660
100000,24,105,45-64,3842
100000,24,105,65+,4026
100000,24,106,0-5,4062
100000,24,106,6-11,4334
100000,24,106,12-17,3868
100000,24,106,18-44,3679
100000,24,106,45-64,3853
100000,24,106,65+,4056
100000,24,107,0-5,4097
100000,24,107,6-11,4346
100000,24,107,12-17,3870
100000,24,107,18-44,3674
100000,24,107,45-64,3864
100000,24,107,65+,4043
100000,24,108,0-5,4092
100000,24,108,6-11,4367
100000,24,108,12-17,3878
100000,24,108,18-44,3675
100000,24,108,45-64,3872
100000,24,108,65+,4048
100000,24,109,0-5,4154
100000,24,109,6-11,4416
100000,24,109,12-17,3885
100000,24,109,18-44,3692
100000,24,109,45-64,3833
100000,24,109,65+,4036
100000,24,110,0-5,4156
100000,24,110,6-11,4433
100000,24,110,12-17,3897
100000,24,110,18-44,3686
100000,24,110,45-64,3841
100000,24,110,65+,4018
100000,24,111,0-5,4177
100000,24,111,6-11,4505
100000,24,111,12-17,3909
100000,24,111,18-44,3708
100000,24,111,45-64,3834
100000,24,111,65+,4023
100000,24,112,0-5,4198
100000,24,112,6-11,4542
100000,24,112,12-17,3932
100000,24,112,18-44,3717
100000,24,112,45-64,3847
100000,24,112,65+,4001
100000,24,113,0-5,4237
100000,24,113,6-11,4574
100000,24,113,12-17,3945
100000,24,113,18-44,3731
100000,24,113,45-64,3837
100000,24,113,65+,4007
100000,24,114,0-5,4259
100000,24,114,6-11,4588
100000,24,114,12-17,3959
100000,24,114,18-44,3728
100000,24,114,45-64,3833
100000,24,114,65+,4022
100000,24,115,0-5,4262
100000,24,115,6-11,4641
100000,24,115,12-17,3972
100000,24,115,18-44,3738
100000,24,115,45-64,3808
100000,24,115,65+,4034
100000,24,116,0-5,4277
100000,24,116,6-11,4671
100000,24,116,12-17,3993
100000,24,116,18-44,3757
100000,24,116,45-64,3828
100000,24,116,65+,4081
100000,24,117,0-5,4295
100000,24,117,6-11,4688
100000,24,117,12-17,4025
100000,24,117,18-44,3734
100000,24,117,45-64,3809
100000,24,117,65+,4091
100000,24,118,0-5,4319
100000,24,118,6-11,4750
100000,24,118,12-17,4065
100000,24,118,18-44,3711
100000,24,118,45-64,3791
100000,24,118,65+,4133
100000,24,119,0-5,4330
100000,24,119,6-11,4783
100000,24,119,12-17,4089
100000,24,119,18-44,3721
100000,24,119,45-64,3837
100000,24,119,65+,4164
100000,24,120,0-5,4363
100000,24,120,6-11,4838
100000,24,120,12-17,4127
100000,24,120,18-44,3708
100000,24,120,45-64,3876
100000,24,120,65+,4191
100000,24,121,0-5,4415
100000,24,121,6-11,4862
100000,24,121,12-17,4135
100000,24,121,18-44,3708
100000,24,121,45-64,3911
100000,24,121,65+,4194
100000,24,122,0-5,4457
100000,24,122,6-11,4926
100000,24,122,12-17,4117
100000,24,122,18-44,3714
100000,24,122,45-64,3913
100000,24,122,65+,4201
100000,24,123,0-5,4519
100000,24,123,6-11,4956
100000,24,123,12-17,4150
100000,24,123,18-44,3695
100000,24,123,45-64,3896
100000,24,123,65+,4250
100000,24,124,0-5,4538
100000,24,124,6-11,5016
100000,24,124,12-17,4154
100000,24,124,18-44,3717
100000,24,124,45-64,3896
100000,24,124,65+,4273
100000,24,125,0-5,4559
100000,24,125,6-11,5043
100000,24,125,12-17,4184
100000,24,125,18-44,3712
100000,24,125,45-64,3900
100000,24,125,65+,4279
100000,24,126,0-5,4767
100000,24,126,6-11,5253
100000,24,126,12-17,4387
100000,24,126,18-44,3888
100000,24,126,45-64,4078
100000,24,126,65+,4448
100000,24,127,0-5,5000
100000,24,127,6-11,5503
100000,24,127,12-17,4627
100000,24,127,18-44,4058
100000,24,127,45-64,4256
100000,24,127,65+,4647
100000,24,128,0-5,5270
100000,24,128,6-11,5767
100000,24,128,12-17,4849
100000,24,128,18-44,4249
100000,24,128,45-64,4461
100000,24,128,65+,4864
100000,24,129,0-5,5560
100000,24,129,6-11,6101
100000,24,129,12-17,5126
100000,24,129,18-44,4446
100000,24,129,45-64,4702
100000,24,129,65+,5108
100000,24,130,0-5,5859
100000,24,130,6-11,6456
100000,24,130,12-17,5407
100000,24,130,18-44,4686
100000,24,130,45-64,4948
100000,24,130,65+,5368
100000,24,131,0-5,6229
100000,24,131,6-11,6814
100000,24,131,12-17,5717
100000,24,131,18-44,4950
100000,24,131,45-64,5201
100000,24,131,65+,5666
100000,24,132,0-5,6626
100000,24,132,6-11,7197
100000,24,132,12-17,6048
100000,24,132,18-44,5261
100000,24,132,45-64,5506
100000,24,132,65+,6011
100000,24,133,0-5,7032
100000,24,133,6-11,7634
100000,24,133,12-17,6467
100000,24,133,18-44,5584
100000,24,133,45-64,5835
100000,24,133,65+,6407
100000,24,134,0-5,7504
100000,24,134,6-11,8135
100000,24,134,12-17,6913
100000,24,134,18-44,5971
100000,24,134,45-64,6226
100000,24,134,65+,6822
100000,24,135,0-5,8054
100000,24,135,6-11,8730
100000,24,135,12-17,7423
100000,24,135,18-44,6380
100000,24,135,45-64,6697
100000,24,135,65+,7302
100000,24,136,0-5,8691
100000,24,136,6-11,9415
100000,24,136,12-17,8018
100000,24,136,18-44,6889
100000,24,136,45-64,7219
100000,24,136,65+,7845
100000,24,137,0-5,9404
100000,24,137,6-11,10217
100000,24,137,12-17,8699
100000,24,137,18-44,7456
100000,24,137,45-64,7787
100000,24,137,65+,8492
100000,24,138,0-5,10275
100000,24,138,6-11,11123
100000,24,138,12-17,9455
100000,24,138,18-44,8105
100000,24,138,45-64,8441
100000,24,138,65+,9209
100000,24,139,0-5,11267
100000,24,139,6-11,12218
100000,24,139,12-17,10387
100000,24,139,18-44,8886
100000,24,139,45-64,9222
100000,24,139,65+,10077
100000,24,140,0-5,12374
100000,24,140,6-11,13463
100000,24,140,12-17,11473
100000,24,140,18-44,9858
100000,24,140,45-64,10216
100000,24,140,65+,11121
100000,24,141,0-5,13800
100000,24,141,6-11,14995
100000,24,141,12-17,12908
100000,24,141,18-44,11108
100000,24,141,45-64,11473
100000,24,141,65+,12384
100000,24,142,0-5,15535
100000,24,142,6-11,16843
100000,24,142,12-17,14615
100000,24,142,18-44,12633
100000,24,142,45-64,13030
100000,24,142,65+,14054
100000,24,143,0-5,17784
100000,24,143,6-11,19051
100000,24,143,12-17,16867
100000,24,143,18-44,14600
100000,24,143,45-64,15026
100000,24,143,65+,16156
100000,24,144,0-5,20561
100000,24,144,6-11,21856
100000,24,144,12-17,19646
100000,24,144,18-44,17247
100000,24,144,45-64,17651
100000,24,144,65+,18916
100000,24,145,0-5,24100
100000,24,145,6-11,25337
100000,24,145,12-17,23365
100000,24,145,18-44,20791
100000,24,145,45-64,21235
100000,24,145,65+,22574
100000,24,146,0-5,28949
100000,24,146,6-11,29995
100000,24,146,12-17,28244
100000,24,146,18-44,25768
100000,24,146,45-64,26213
100000,24,146,65+,27624
100000,24,147,0-5,35551
100000,24,147,6-11,36485
100000,24,147,12-17,35045
100000,24,147,18-44,32882
100000,24,147,45-64,33265
100000,24,147,65+,34616
100000,24,148,0-5,45556
100000,24,148,6-11,46180
100000,24,148,12-17,45181
100000,24,148,18-44,43710
100000,24,148,45-64,43779
100000,24,148,65+,44815
100000,24,149,0-5,62409
100000,24,149,6-11,62628
100000,24,149,12-17,62420
100000,24,149,18-44,61637
100000,24,149,45-64,61442
100000,24,149,65+,62084
100000,32,1,0-5,2071
100000,32,1,6-11,25
100000,32,1,12-17,594
100000,32,1,18-44,2787
100000,32,1,45-64,2411
100000,32,1,65+,1968
100000,32,2,0-5,2195
100000,32,2,6-11,29
100000,32,2,12-17,722
100000,32,2,18-44,2848
100000,32,2,45-64,2627
100000,32,2,65+,2160
100000,32,3,0-5,2449
100000,32,3,6-11,115
100000,32,3,12-17,1196
100000,32,3,18-44,2953
100000,32,3,45-64,2970
100000,32,3,65+,2519
100000,32,4,0-5,2741
100000,32,4,6-11,1837
100000,32,4,12-17,2361
100000,32,4,18-44,3040
100000,32,4,45-64,3147
100000,32,4,65+,2862
100000,32,5,0-5,2848
100000,32,5,6-11,2489
100000,32,5,12-17,2667
100000,32,5,18-44,3063
100000,32,5,45-64,3211
100000,32,5,65+,3078
100000,32,6,0-5,2863
100000,32,6,6-11,2570
100000,32,6,12-17,2724
100000,32,6,18-44,3059
100000,32,6,45-64,3227
100000,32,6,65+,3183
100000,32,7,0-5,2866
100000,32,7,6-11,2594
100000,32,7,12-17,2738
100000,32,7,18-44,3082
100000,32,7,45-64,3226
100000,32,7,65+,3264
100000,32,8,0-5,2867
100000,32,8,6-11,2614
100000,32,8,12-17,2759
100000,32,8,18-44,3085
100000,32,8,45-64,3225
100000,32,8,65+,3301
100000,32,9,0-5,2868
100000,32,9,6-11,2624
100000,32,9,12-17,2764
100000,32,9,18-44,3089
100000,32,9,45-64,3220
100000,32,9,65+,3287
100000,32,10,0-5,2872
100000,32,10,6-11,2651
100000,32,10,12-17,2782
100000,32,10,18-44,3056
100000,32,10,45-64,3201
100000,32,10,65+,3292
100000,32,11,0-5,2870
100000,32,11,6-11,2668
100000,32,11,12-17,2789
100000,32,11,18-44,3059
100000,32,11,45-64,3224
100000,32,11,65+,3263
100000,32,12,0-5,2892
100000,32,12,6-11,2665
100000,32,12,12-17,2782
100000,32,12,18-44,3057
100000,32,12,45-64,3224
100000,32,12,65+,3284
100000,32,13,0-5,2900
100000,32,13,6-11,2682
100000,32,13,12-17,2794
100000,32,13,18-44,3032
100000,32,13,45-64,3203
100000,32,13,65+,3273
100000,32,14,0-5,2910
100000,32,14,6-11,2706
100000,32,14,12-17,2782
100000,32,14,18-44,3027
100000,32,14,45-64,3197
100000,32,14,65+,3259
100000,32,15,0-5,2916
100000,32,15,6-11,2725
100000,32,15,12-17,2772
100000,32,15,18-44,3021
100000,32,15,45-64,3184
100000,32,15,65+,3247
100000,32,16,0-5,2933
100000,32,16,6-11,2734
100000,32,16,12-17,2792
100000,32,16,18-44,3022
100000,32,16,45-64,3187
100000,32,16,65+,3260
100000,32,17,0-5,2929
100000,32,17,6-11,2726
100000,32,17,12-17,2781
100000,32,17,18-44,3030
100000,32,17,45-64,3199
100000,32,17,65+,3235
100000,32,18,0-5,2931
100000,32,18,6-11,2735
100000,32,18,12-17,2799
100000,32,18,18-44,3047
100000,32,18,45-64,3185
100000,32,18,65+,3239
100000,32,19,0-5,2942
100000,32,19,6-11,2757
100000,32,19,12-17,2793
100000,32,19,18-44,3037
100000,32,19,45-64,3196
100000,32,19,65+,3228
100000,32,20,0-5,2949
100000,32,20,6-11,2770
100000,32,20,12-17,2787
100000,32,20,18-44,3013
100000,32,20,45-64,3168
100000,32,20,65+,3226
100000,32,21,0-5,2961
100000,32,21,6-11,2794
100000,32,21,12-17,2773
100000,32,21,18-44,3022
100000,32,21,45-64,3173
100000,32,21,65+,3230
100000,32,22,0-5,2993
100000,32,22,6-11,2835
100000,32,22,12-17,2781
100000,32,22,18-44,3020
100000,32,22,45-64,3159
100000,32,22,65+,3201
100000,32,23,0-5,2985
100000,32,23,6-11,2863
100000,32,23,12-17,2811
100000,32,23,18-44,3026
100000,32,23,45-64,3151
100000,32,23,65+,3184
100000,32,24,0-5,2984
100000,32,24,6-11,2872
100000,32,24,12-17,2832
100000,32,24,18-44,3021
100000,32,24,45-64,3133
100000,32,24,65+,3189
100000,32,25,0-5,2980
100000,32,25,6-11,2880
100000,32,25,12-17,2826
100000,32,25,18-44,3022
100000,32,25,45-64,3155
100000,32,25,65+,3170
100000,32,26,0-5,2956
100000,32,26,6-11,2905
100000,32,26,12-17,2814
100000,32,26,18-44,3011
100000,32,26,45-64,3140
100000,32,26,65+,3174
100000,32,27,0-5,2937
100000,32,27,6-11,2926
100000,32,27,12-17,2816
100000,32,27,18-44,3004
100000,32,27,45-64,3133
100000,32,27,65+,3162
100000,32,28,0-5,2912
100000,32,28,6-11,2955
100000,32,28,12-17,2801
100000,32,28,18-44,2982
100000,32,28,45-64,3108
100000,32,28,65+,3157
100000,32,29,0-5,2936
100000,32,29,6-11,2951
100000,32,29,12-17,2794
100000,32,29,18-44,2972
100000,32,29,45-64,3108
100000,32,29,65+,3144
100000,32,30,0-5,2943
100000,32,30,6-11,2961
100000,32,30,12-17,2792
100000,32,30,18-44,2954
100000,32,30,45-64,3110
100000,32,30,65+,3139
100000,32,31,0-5,2958
100000,32,31,6-11,2990
100000,32,31,12-17,2789
100000,32,31,18-44,2948
100000,32,31,45-64,3086
100000,32,31,65+,3134
100000,32,32,0-5,2939
100000,32,32,6-11,3002
100000,32,32,12-17,2796
100000,32,32,18-44,2938
100000,32,32,45-64,3065
100000,32,32,65+,3144
100000,32,33,0-5,2921
100000,32,33,6-11,3001
100000,32,33,12-17,2801
100000,32,33,18-44,2939
100000,32,33,45-64,3020
100000,32,33,65+,3130
100000,32,34,0-5,2926
100000,32,34,6-11,3008
100000,32,34,12-17,2794
100000,32,34,18-44,2927
100000,32,34,45-64,3022
100000,32,34,65+,3118
100000,32,35,0-5,2928
100000,32,35,6-11,3014
100000,32,35,12-17,2787
100000,32,35,18-44,2909
100000,32,35,45-64,3018
100000,32,35,65+,3107
100000,32,36,0-5,2905
100000,32,36,6-11,3016
100000,32,36,12-17,2789
100000,32,36,18-44,2901
100000,32,36,45-64,3028
100000,32,36,65+,3097
100000,32,37,0-5,2890
100000,32,37,6-11,3011
100000,32,37,12-17,2778
100000,32,37,18-44,2863
100000,32,37,45-64,3030
100000,32,37,65+,3076
100000,32,38,0-5,2896
100000,32,38,6-11,3012
100000,32,38,12-17,2771
100000,32,38,18-44,2842
100000,32,38,45-64,3001
100000,32,38,65+,3074
100000,32,39,0-5,2923
