Np,L,day,age_group,uniq
100000,16,34,18-44,5941
100000,16,34,45-64,6153
100000,16,34,65+,6264
100000,16,35,0-5,5880
100000,16,35,6-11,6031
100000,16,35,12-17,5509
100000,16,35,18-44,5917
100000,16,35,45-64,6151
100000,16,35,65+,6255
100000,16,36,0-5,5887
100000,16,36,6-11,6033
100000,16,36,12-17,5521
100000,16,36,18-44,5890
100000,16,36,45-64,6130
100000,16,36,65+,6228
100000,16,37,0-5,5867
100000,16,37,6-11,6077
100000,16,37,12-17,5539
100000,16,37,18-44,5930
100000,16,37,45-64,6102
100000,16,37,65+,6200
100000,16,38,0-5,5949
100000,16,38,6-11,6082
100000,16,38,12-17,5559
100000,16,38,18-44,5932
100000,16,38,45-64,6084
100000,16,38,65+,6176
100000,16,39,0-5,5928
100000,16,39,6-11,6078
100000,16,39,12-17,5576
100000,16,39,18-44,5886
100000,16,39,45-64,6088
100000,16,39,65+,6155
100000,16,40,0-5,5937
100000,16,40,6-11,6083
100000,16,40,12-17,5591
100000,16,40,18-44,5855
100000,16,40,45-64,6047
100000,16,40,65+,6152
100000,16,41,0-5,5888
100000,16,41,6-11,6064
100000,16,41,12-17,5567
100000,16,41,18-44,5836
100000,16,41,45-64,6040
100000,16,41,65+,6148
100000,16,42,0-5,5890
100000,16,42,6-11,6075
100000,16,42,12-17,5548
100000,16,42,18-44,5757
100000,16,42,45-64,6047
100000,16,42,65+,6175
100000,16,43,0-5,5883
100000,16,43,6-11,6091
100000,16,43,12-17,5549
100000,16,43,18-44,5760
100000,16,43,45-64,5992
100000,16,43,65+,6124
100000,16,44,0-5,5884
100000,16,44,6-11,6070
100000,16,44,12-17,5526
100000,16,44,18-44,5725
100000,16,44,45-64,6012
100000,16,44,65+,6090
100000,16,45,0-5,5899
100000,16,45,6-11,6022
100000,16,45,12-17,5530
100000,16,45,18-44,5685
100000,16,45,45-64,5988
100000,16,45,65+,6104
100000,16,46,0-5,5877
100000,16,46,6-11,6003
100000,16,46,12-17,5536
100000,16,46,18-44,5652
100000,16,46,45-64,5969
100000,16,46,65+,6072
100000,16,47,0-5,5827
100000,16,47,6-11,5992
100000,16,47,12-17,5539
100000,16,47,18-44,5654
100000,16,47,45-64,5949
100000,16,47,65+,6057
100000,16,48,0-5,5807
100000,16,48,6-11,6012
100000,16,48,12-17,5533
100000,16,48,18-44,5638
100000,16,48,45-64,5949
100000,16,48,65+,6070
100000,16,49,0-5,5813
100000,16,49,6-11,5995
100000,16,49,12-17,5524
100000,16,49,18-44,5633
100000,16,49,45-64,5931
100000,16,49,65+,6037
100000,16,50,0-5,5824
100000,16,50,6-11,5990
100000,16,50,12-17,5537
100000,16,50,18-44,5596
100000,16,50,45-64,5889
100000,16,50,65+,6045
100000,16,51,0-5,5790
100000,16,51,6-11,5985
100000,16,51,12-17,5515
100000,16,51,18-44,5585
100000,16,51,45-64,5868
100000,16,51,65+,6072
100000,16,52,0-5,5771
100000,16,52,6-11,5975
100000,16,52,12-17,5517
100000,16,52,18-44,5591
100000,16,52,45-64,5865
100000,16,52,65+,6047
100000,16,53,0-5,5747
100000,16,53,6-11,5982
100000,16,53,12-17,5523
100000,16,53,18-44,5585
100000,16,53,45-64,5858
100000,16,53,65+,6020
100000,16,54,0-5,5754
100000,16,54,6-11,5980
100000,16,54,12-17,5474
100000,16,54,18-44,5565
100000,16,54,45-64,5822
100000,16,54,65+,6066
100000,16,55,0-5,5809
100000,16,55,6-11,5921
100000,16,55,12-17,5486
100000,16,55,18-44,5523
100000,16,55,45-64,5823
100000,16,55,65+,6100
100000,16,56,0-5,5842
100000,16,56,6-11,5928
100000,16,56,12-17,5451
100000,16,56,18-44,5541
100000,16,56,45-64,5795
100000,16,56,65+,6047
100000,16,57,0-5,5842
100000,16,57,6-11,5937
100000,16,57,12-17,5468
100000,16,57,18-44,5577
100000,16,57,45-64,5819
100000,16,57,65+,5992
100000,16,58,0-5,5845
100000,16,58,6-11,5912
100000,16,58,12-17,5496
100000,16,58,18-44,5603
100000,16,58,45-64,5824
100000,16,58,65+,6005
100000,16,59,0-5,5840
100000,16,59,6-11,5935
100000,16,59,12-17,5552
100000,16,59,18-44,5582
100000,16,59,45-64,5813
100000,16,59,65+,6041
100000,16,60,0-5,5845
100000,16,60,6-11,5952
100000,16,60,12-17,5547
100000,16,60,18-44,5573
100000,16,60,45-64,5813
100000,16,60,65+,6044
100000,16,61,0-5,5842
100000,16,61,6-11,5928
100000,16,61,12-17,5508
100000,16,61,18-44,5563
100000,16,61,45-64,5791
100000,16,61,65+,6015
100000,16,62,0-5,5795
100000,16,62,6-11,5922
100000,16,62,12-17,5487
100000,16,62,18-44,5563
100000,16,62,45-64,5828
100000,16,62,65+,6015
100000,16,63,0-5,5745
100000,16,63,6-11,5926
100000,16,63,12-17,5481
100000,16,63,18-44,5581
100000,16,63,45-64,5802
100000,16,63,65+,5987
100000,16,64,0-5,5759
100000,16,64,6-11,5926
100000,16,64,12-17,5466
100000,16,64,18-44,5585
100000,16,64,45-64,5832
100000,16,64,65+,6017
100000,16,65,0-5,5771
100000,16,65,6-11,5884
100000,16,65,12-17,5456
100000,16,65,18-44,5615
100000,16,65,45-64,5866
100000,16,65,65+,5997
100000,16,66,0-5,5767
100000,16,66,6-11,5927
100000,16,66,12-17,5431
100000,16,66,18-44,5577
100000,16,66,45-64,5820
100000,16,66,65+,6001
100000,16,67,0-5,5810
100000,16,67,6-11,5955
100000,16,67,12-17,5439
100000,16,67,18-44,5561
100000,16,67,45-64,5840
100000,16,67,65+,5994
100000,16,68,0-5,5827
100000,16,68,6-11,5947
100000,16,68,12-17,5442
100000,16,68,18-44,5552
100000,16,68,45-64,5839
100000,16,68,65+,5963
100000,16,69,0-5,5796
100000,16,69,6-11,5919
100000,16,69,12-17,5439
100000,16,69,18-44,5555
100000,16,69,45-64,5792
100000,16,69,65+,5962
100000,16,70,0-5,5731
100000,16,70,6-11,5906
100000,16,70,12-17,5497
100000,16,70,18-44,5533
100000,16,70,45-64,5792
100000,16,70,65+,5957
100000,16,71,0-5,5792
100000,16,71,6-11,5928
100000,16,71,12-17,5528
100000,16,71,18-44,5500
100000,16,71,45-64,5769
100000,16,71,65+,5990
100000,16,72,0-5,5823
100000,16,72,6-11,5953
100000,16,72,12-17,5515
100000,16,72,18-44,5486
100000,16,72,45-64,5793
100000,16,72,65+,6015
100000,16,73,0-5,5843
100000,16,73,6-11,6003
100000,16,73,12-17,5503
100000,16,73,18-44,5489
100000,16,73,45-64,5757
100000,16,73,65+,5999
100000,16,74,0-5,5790
100000,16,74,6-11,6031
100000,16,74,12-17,5526
100000,16,74,18-44,5510
100000,16,74,45-64,5778
100000,16,74,65+,5965
100000,16,75,0-5,5771
100000,16,75,6-11,6024
100000,16,75,12-17,5530
100000,16,75,18-44,5544
100000,16,75,45-64,5774
100000,16,75,65+,5973
100000,16,76,0-5,5791
100000,16,76,6-11,6060
100000,16,76,12-17,5556
100000,16,76,18-44,5527
100000,16,76,45-64,5730
100000,16,76,65+,5938
100000,16,77,0-5,5799
100000,16,77,6-11,6000
100000,16,77,12-17,5554
100000,16,77,18-44,5536
100000,16,77,45-64,5770
100000,16,77,65+,5957
100000,16,78,0-5,5812
100000,16,78,6-11,5989
100000,16,78,12-17,5578
100000,16,78,18-44,5500
100000,16,78,45-64,5804
100000,16,78,65+,5978
100000,16,79,0-5,5783
100000,16,79,6-11,5959
100000,16,79,12-17,5587
100000,16,79,18-44,5504
100000,16,79,45-64,5825
100000,16,79,65+,6006
100000,16,80,0-5,5793
100000,16,80,6-11,5966
100000,16,80,12-17,5581
100000,16,80,18-44,5560
100000,16,80,45-64,5784
100000,16,80,65+,6006
100000,16,81,0-5,5834
100000,16,81,6-11,5946
100000,16,81,12-17,5543
100000,16,81,18-44,5519
100000,16,81,45-64,5772
100000,16,81,65+,6036
100000,16,82,0-5,5850
100000,16,82,6-11,5931
100000,16,82,12-17,5612
100000,16,82,18-44,5521
100000,16,82,45-64,5774
100000,16,82,65+,6006
100000,16,83,0-5,5814
100000,16,83,6-11,5957
100000,16,83,12-17,5636
100000,16,83,18-44,5551
100000,16,83,45-64,5740
100000,16,83,65+,5980
100000,16,84,0-5,5830
100000,16,84,6-11,5972
100000,16,84,12-17,5582
100000,16,84,18-44,5554
100000,16,84,45-64,5776
100000,16,84,65+,5982
100000,16,85,0-5,5840
100000,16,85,6-11,5958
100000,16,85,12-17,5572
100000,16,85,18-44,5524
100000,16,85,45-64,5760
100000,16,85,65+,6010
100000,16,86,0-5,5877
100000,16,86,6-11,5924
100000,16,86,12-17,5590
100000,16,86,18-44,5532
100000,16,86,45-64,5737
100000,16,86,65+,6009
100000,16,87,0-5,5902
100000,16,87,6-11,5965
100000,16,87,12-17,5551
100000,16,87,18-44,5531
100000,16,87,45-64,5724
100000,16,87,65+,6025
100000,16,88,0-5,5895
100000,16,88,6-11,6041
100000,16,88,12-17,5559
100000,16,88,18-44,5525
100000,16,88,45-64,5740
100000,16,88,65+,6026
100000,16,89,0-5,5883
100000,16,89,6-11,6027
100000,16,89,12-17,5577
100000,16,89,18-44,5548
100000,16,89,45-64,5764
100000,16,89,65+,6050
100000,16,90,0-5,5861
100000,16,90,6-11,6020
100000,16,90,12-17,5608
100000,16,90,18-44,5522
100000,16,90,45-64,5766
100000,16,90,65+,6058
100000,16,91,0-5,5905
