day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
1,2022-08-28,36,0-5,17.8571,17.1209,13.5119,21.3230,1.2728,0.9941,1.6002,NA
1,2022-08-28,36,6-11,30.8571,28.3612,23.7179,33.7675,1.4911,1.2051,1.8217,NA
1,2022-08-28,36,12-17,35.2857,34.5571,29.2239,38.6050,1.5372,1.2367,1.8247,NA
1,2022-08-28,36,18-44,44.2857,43.2913,36.5842,50.0934,0.8413,0.6684,1.0354,NA
1,2022-08-28,36,45-64,16.4286,16.2057,12.5756,20.4361,0.7857,0.6338,0.9593,NA
1,2022-08-28,36,65+,12.8571,12.6606,9.4664,16.4037,0.8050,0.6375,1.0184,NA
2,2022-08-29,36,0-5,17.7143,16.6455,13.8095,19.8152,1.2488,1.0086,1.5268,6.4984
2,2022-08-29,36,6-11,30.2857,27.4606,23.5896,31.1230,1.4915,1.2394,1.7837,7.9261
2,2022-08-29,36,12-17,34.0000,35.0382,30.8231,38.6061,1.6282,1.3632,1.9886,7.4363
2,2022-08-29,36,18-44,45.8571,47.0127,41.2141,53.0978,0.8175,0.6777,0.9799,3.6625
2,2022-08-29,36,45-64,16.5714,17.0693,14.1647,20.3515,0.7656,0.6401,0.9081,3.3946
2,2022-08-29,36,65+,12.8571,12.8724,10.4645,15.6451,0.7804,0.6355,0.9561,3.7121
3,2022-08-30,36,0-5,16.5714,16.1849,13.4839,19.3039,1.2233,1.0057,1.4726,2.9746
3,2022-08-30,36,6-11,29.2857,26.2813,22.3958,29.9555,1.4731,1.2448,1.7457,3.6969
3,2022-08-30,36,12-17,36.4286,36.1206,31.1212,40.5506,1.7071,1.4385,2.0178,3.6727
3,2022-08-30,36,18-44,49.8571,50.6782,43.6296,58.4662,0.7908,0.6696,0.9386,1.7707
3,2022-08-30,36,45-64,17.2857,17.7624,14.5623,21.4715,0.7414,0.6321,0.8699,1.6583
3,2022-08-30,36,65+,13.7143,13.0219,10.6797,15.8439,0.7506,0.6242,0.9045,1.8107
4,2022-08-31,36,0-5,16.4286,15.7074,12.9397,19.0329,1.1918,0.9918,1.4281,2.0387
4,2022-08-31,36,6-11,27.2857,25.2340,21.2467,29.4886,1.4369,1.2192,1.6918,2.4629
4,2022-08-31,36,12-17,38.4286,38.4800,33.2265,43.9635,1.7569,1.4825,2.0640,2.5750
4,2022-08-31,36,18-44,51.7143,53.0902,44.8265,62.4383,0.7617,0.6472,0.8919,1.2215
4,2022-08-31,36,45-64,18.0000,18.0734,14.6285,22.2481,0.7153,0.6148,0.8288,1.1461
4,2022-08-31,36,65+,13.5714,13.0792,10.4958,16.3316,0.7180,0.6048,0.8550,1.2308
5,2022-09-01,36,0-5,17.1429,15.3946,12.4666,18.8746,1.1582,0.9603,1.3972,1.7029
