day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
1,2012-09-02,36,0-5,28.8571,27.2975,22.3592,32.8506,1.4890,1.1866,1.8545,NA
1,2012-09-02,36,6-11,21.7143,20.0650,16.1133,24.7208,1.6793,1.3695,2.0343,NA
1,2012-09-02,36,12-17,12.2857,12.4755,9.0664,16.3168,1.4974,1.1972,1.8470,NA
1,2012-09-02,36,18-44,32.1429,31.7526,25.9771,37.5788,0.9028,0.7339,1.1080,NA
1,2012-09-02,36,45-64,23.0000,23.2182,18.7485,28.2391,0.9153,0.7349,1.1349,NA
1,2012-09-02,36,65+,15.4286,14.2244,10.9020,18.0684,0.9640,0.7644,1.2053,NA
2,2012-09-03,36,0-5,30.4286,27.3397,23.3255,31.5738,1.5127,1.2391,1.8351,7.6361
2,2012-09-03,36,6-11,22.5714,20.4084,17.6102,23.7653,1.7314,1.4437,2.0888,8.2914
2,2012-09-03,36,12-17,13.5714,12.4257,9.7723,15.5634,1.5343,1.2557,1.8504,7.7063
2,2012-09-03,36,18-44,33.7143,33.9373,29.1909,39.1668,0.8933,0.7503,1.0621,4.1314
2,2012-09-03,36,45-64,25.1429,24.3990,20.8527,28.5453,0.9015,0.7479,1.0812,4.2364
2,2012-09-03,36,65+,16.0000,14.3033,11.8451,17.0317,0.9491,0.7773,1.1540,4.7835
3,2012-09-04,36,0-5,30.4286,27.7040,23.6509,32.2344,1.5385,1.2827,1.8317,3.4301
3,2012-09-04,36,6-11,23.4286,21.3541,18.1522,24.9584,1.7763,1.5055,2.1084,3.7906
3,2012-09-04,36,12-17,13.7143,12.6644,10.4175,16.0584,1.5671,1.3045,1.8667,3.4498
3,2012-09-04,36,18-44,34.2857,36.2030,30.6498,42.9920,0.8896,0.7637,1.0373,1.8506
3,2012-09-04,36,45-64,25.7143,25.7835,21.7242,30.5125,0.8933,0.7588,1.0553,1.8730
3,2012-09-04,36,65+,13.7143,14.5170,12.0525,17.3588,0.9430,0.7903,1.1279,2.0119
4,2012-09-05,36,0-5,27.7143,28.4680,24.0338,33.8483,1.5478,1.3018,1.8481,2.1831
4,2012-09-05,36,6-11,23.7143,22.6774,18.9064,26.8820,1.8011,1.5336,2.1091,2.5413
4,2012-09-05,36,12-17,13.2857,13.3449,10.9021,16.5565,1.5968,1.3382,1.8993,2.2678
4,2012-09-05,36,18-44,34.5714,37.8983,31.3736,45.5806,0.8869,0.7663,1.0311,1.2295
4,2012-09-05,36,45-64,25.4286,27.0241,22.4115,32.7441,0.8907,0.7612,1.0430,1.2528
4,2012-09-05,36,65+,13.8571,14.7988,12.0684,18.0078,0.9407,0.7950,1.1174,1.3601
5,2012-09-06,36,0-5,28.7143,29.5813,24.5118,35.6201,1.5395,1.2951,1.8226,1.8179
